"model","roc_auc","accuracy","rightly_classified","wrongly_classified"
"regularized",0.506606751499686,0.0851659336265494,213,2288
"xbg_boost",0.539211711835971,0.107157137145142,268,2233
"naive_bayes",0.57847459303951,0.287085165933627,718,1783
"knn",0.505865278769762,0.0487804878048781,122,2379
"decision_tree",0.524252289572682,0.0343862455017993,86,2415
"svm",0.526333585155308,0.133546581367453,334,2167
"random_forest",0.539955998545181,0.0391843262694922,98,2403
