raw
1 Arrival at Kraghammer
"Vex'ahlia (1:17:25) Charisma check: ""I'll fight this bear!"""
Vax’ildan (2:25:08) Initiative vs. Goblins and Trolls
Percy (2:34:53) Insight vs. Fleeing goblins
Vax’ildan (2:38:41) 1st Poison Dagger attack vs. Ogre
Keyleth (2:54:08) Con save vs. Naga poison
02 Into the Greyspine Mines
Vex’ahlia (0:42:08) Looking for entrance to House Thunderbrand
Vex’ahlia (1:15:54) Looking for tracks
Percy (1:56:49) Jamming second shot vs. Umber hulk
Grog (2:06:21) Confused attack vs. Tiberius (technically a win!)
03 Strange Bedfellows
Vex’ahlia (0:23:32) Religion Check vs. Bahamut symbol
Keyleth (0:55:48) Check for bats
Percy (1:30:06) Intelligence check about Mind Flayers
Vax’ildan (1:54:14) Dex check vs. Fall (negated by advantage)
Percy (2:29:15) Insight vs. Clarota
04 Attack on the Duergar Warcamp
Grog (1:10:37) Stealth check
Pike (1:10:37) Stealth check
Keyleth (1:30:35) Secondary stealth check vs. Duergar Camp
Vax’ildan (1:44:30) Stealth vs. Mind Flayer (negated by advantage)
Keyleth (2:11:01) Stealth check vs. Bulette
05 The Trick About Falling (thanks to AshesOfValkana)
Vex’ahlia (0:53:30) Acrobatics vs. plummeting flying carpet
Vex’ahlia (1:10:05) Stealth vs. Duergar patrol
06 Breaching the Emberhold (thanks to arosebyabbie)
Scanlan (0:51:33) Stealth check approaching the red spire
Percy (1:00:51) Second communal stealth check (group succeeded overall)
Vex'ahlia (1:09:50) Investigation vs. lava flow (negated by advantage)
Vex'ahlia (1:35:05) Attack vs. Duergar guard
Vax’ildan (2:29:24) Picking Kima’s locks
07 The Throne Room
Tiberius (0:21:30) Group Perception check for guards
Pike (1:07:23) Saving throw vs. Surprise Mind Blast
Vax’ildan (1:38:12) Perception vs. Duergar Armory
08 Glass and Bone (thanks to @ComplexityOfOne)
Trinket (1:05:25) Stealth check
Percy (1:37:05) Initiative Roll
Vax’ildan (1:47:47) Attack vs. Abyssal Abomination
09 Yug’Voril Uncovered (thanks to @markus2002) 
Vex'ahlia (00:29:10) Attack vs. duergar
Vax'ildan (2:15:10) Con save vs. curse of gold dwarven armor
Vax'ildan (2:25:55) Perception check on beach
10 K’Varn Revealed (thanks to @ComplexityOfOne)
Vax’ildan (1:01:52) Attack vs. Cloaker in darkness (disadvantage)
Percy (1:06:22) Wis save vs. Cloaker’s cry
"Scanlan (2:52:54) Stealth Check (Negated by advantage, invisibility)"
11 The Temple Showdown  (thanks to AshesOfValkana and @markus2002)
Vex’ahlia (0:15:04) Acrobatics vs. Fomorian (negated by advantage)
Vax’ildan (0:17:04) Con save vs. Fomorian’s “nasty ass scent”
Vax’ildan (0:22:58) Attack vs. Fomorian
Scanlan (0:45:20) Initiative vs. Fomorian
Scanlan (1:16:35) History check on Fomorians (strengths and weaknesses)
Trinket (2:36:25) Stealth check while flying to the temple
Grog (4:14:22) Axe throw with chain of returning vs. K'varn (chain breaks)
Vax'ildan (4:18:20) Dagger attack vs. K'varn (negated by Luck)
Vax'ildan (4:18:33) Dagger attack vs. K'varn
13 Escape from the Underdark (thanks to kathatherine and @geonerd)
Pike (0:50:01) Wis save vs. stun
Grog (0:57:12) Breaking the grapple vs. experiment
14 Shopping and Shipping (thanks to notquitemrdarcy)
Percy (1:10:51) Insight check vs. Sovereign Uriel about Briarwoods
15 Skyward (thanks to a Critter)
Pike (2:33:41) Attack vs. wyvern
Trinket (2:37:54) Attack vs. wyvern
Tiberius (2:55:14) Acrobatics to avoid falling down the stairs
16 Enter Vasselheim
Grog (0:14:50) Sleep check vs. Rope beard
Vex’ahlia (0:43:30) Stealth across Vasselheim’s rooftops
Vax’ildan (1:23:13) Perception check vs. mist room
Percy (2:17:25) Con save vs. Spider poison
17 Hubris
Vax’ildan (2:22:27) Dagger against Hydra
Vex’ahlia (2:39:19) Misfiring the exploding arrow
Percy (2:45:46) Wis save vs. Hold Person
18 Trial of the Take Part 1 (thanks to @markus2002)
Zahra (0:49:50) Religion check on statue
19 Trial of the Take Part 2 (thanks to @markus2002)
Grog (0:16:10) Persuasion vs. frost giants
Grog (0:41:30) Persuasion vs. frost giants
Zahra (0:50:20) Perception check in mountain
Lyra (1:59:35) Initiative vs. Rimefang (-1 after modifier!)
20 Trial of the Take Part 3
Thorbir (1:07:38) Intimidation vs. Bastion officers
Thorbir (1:23:01) History check on Lord Tirell
Thorbir (2:36:06) Axe vs. Door… But actually Wall
Kashaw (2:42:12) Perception vs. bedroom
Thorbir (2:58:59) Check for tracks (negated b/c advantage… for a 4.)
21 Trial of the Take Part 4
Thorbir (0:45:00) Attack vs. crotch-biting rat
Thorbir (1:13:00) Check during Kashaw’s history speech
Keyleth (1:29:40) Possessed attack vs. Kashaw
Thorbir (1:40:17) Attack vs. possessed Vax
Vax’ildan (1:45:56) Possessed attack vs. Thorbir (negated by advantage)
Thorbir (2:50:55) Initiative vs. Hotis
Thorbir (2:59:55) Dex save vs. Shield Guardian’s Fireball
Thorbir (3:10:42) Attack vs. Shield Guardian
22 AraMente to Pyrah
Grog (2:26:30) Perception vs. avalanche sources
Vax’ildan (2:28:56) Dex check vs. Ettin boulder
Vax’ildan (2:40:04) Perception to spot Pyrah
Tiberius (2:40:04) Perception to spot Pyrah
Keyleth (3:10:44) Wis check to find signs of mother (negated by advantage)
Percy (3:19:15) Initiative vs. Fire Druid Elementals
Grog (3:19:15) Initiative vs. Fire Druid Elementals
Tiberius (3:22:07) Dex Save vs. Fire Elemental 1 attack
Vex’ahlia (4:12:35) Acrobatic check from portal
Tiberius (4:12:35) Acrobatic check from portal
23 THE REMATCH
Grog (1:06:31) Athletics check vs. Kern’s Grapple
24 The Feast
Keyleth (0:59:15) Negotation vs. Sherri over books
