raw
"Ogre 2 (Ep01, 2:33:49) Saving throw against Lightning"
"Duergar (Ep02, 2:57:32) Vs. Vex’s Intimidation"
"General (Ep04, 2:07:35) Save vs. Scanlan’s Dominate Person (negated by advantage, still failed with a 2)"
"Duergar (Ep05, 0:47:00) Javelins vs. Percy"
"Duergar guard (Ep06, 1:23:11) vs. Keyleth’s athletics check"
"Abyssal Abomination (Ep08, 1:40:39) Attack vs. Tiberius"
"Intellect Devourer (Ep13, 0:51:29) AoO vs. Vax’ildan"
"Kima (Ep16, 2:39:06) Dex check vs. Platinum Golems"
"Kern (Ep17, 0:52:05) Frenzied attack vs. Grog"
"Bastion officer (Ep20, 1:12:34) vs. Thorbir’s persuasion of 6"
"Rats (Ep21, 0:48:33) Save vs. Sacred Flame"
"Boulder (Ep22, 2:34:17) Str save vs. Tiberius’s telekinesis"
"Lord Greyspine (Ep24, 2:15:00) Wis Save vs. Scanlan’s (reasonable) Suggestion"
"Lady Briarwood (Ep25, 1:34:39) Counterspell vs. Scanlan’s Lightning"
"Roc (Ep26, 3:00:00) Wis Save vs. Keyleth’s Polymorph"
"Invisible Stalker (Ep27, 0:37:45) Save vs. Jarrett’s grapple"
"Kerrion Stonefell (Ep29, 3:06:00) attack vs. Vax (with disadvantage)"
"Vampire Spawn 2 (Ep30, 1:11:50) Bite Attack vs. Percy"
"Vampire Spawn 3  (Ep30, 1:14:20) Con Save vs. Keyleth’s Sunbeam"
"Duke’s Guard (Ep31, p1.0:21:19) Crossbow vs. Scanlan the Triceratops"
"Duke Vedmeyer (Ep31, p1.0:28:21) Con save vs. Stinking Cloud"
"Duke Vedmeyer (Ep31, p1.0:42:48) Str save vs. Bigby’s Hand in the rain"
"Count’s Guard (Ep31, p1.1:09:16) Crossbow vs. Grog (negated by advantage)"
"Count’s Guard (Ep31, p1.1:09:27) Crossbow vs. Grog (negated by advantage)"
"Count Tylieri (Ep31, p1.1:26:15) Bite attack vs. Grog"
"Skeleton (Ep32, 0:28:51) Dex save vs. Fiery Sphere"
"Skeleton (Ep32, 0:28:54) Dex save vs. Fiery Sphere"
"Zombie Giant 2 (Ep32, 1:46:17) Str check to break Grasping Vine grapple (with disadvantage)"
"Orthax (Ep35, p1.1:40:47) Third strike vs. Pike"
"Jasper the Farmer (Ep36, 1:16:27) Insight vs. Grog’s supposed “Hand Herpes”"
"Jasper the Farmer (Ep36, 1:16:56) Strength check vs. Grog, with disadvantage"
"Daxio (Ep37, 3:46:58) Wis Save vs. Scanlan’s Hold Person (negated by Indomitable)"
"Daxio (Ep37, 4:08:02) Second attack vs. Keyleth (with disadvantage)"
"Kaylee (Ep38, 1:27:21) Attack vs. Scanlan"
"Purple Worm (Ep39, 1:07:05) Tail attack vs. Keyleth (with disadvantage)"
"Vorugal (Ep40, 0:59:26) To see if it regained Cold Breath"
"Kendrick (Ep40, 1:10:30) Crossbow Attack against Vorugal"
"People (Ep41, 0:29:47) Against Keyleth’s Persuasion Check"
"Rider 1 (Ep42, 1:32:05) Dexterity Save"
"Sentry (Ep42, 3:05:05) Perception Check"
"Groon (Ep43, 3:10:04) Wisdom Save against Eyebite"
"Groon (Ep43, 3:22:52) Attack against Scanlan"
"Small Fire Elemental (Ep46, 0:59:50) Attack against Fatty Arbuckle"
"Large Fire Elemental (Ep46, 2:14:07) Strike against Scanlan"
"Basilisk 3 (Ep48, 2:26:19) Dexterity Save"
"Orc 5 (Ep49, 1:37:51) Athletics Check"
"Phase Spider (Ep49, 3:50:30) Attack against Percy"
"Sphinx (Ep49, 4:27:21) Claw against Pike with advantage (disregarded due to advantage)"
"Guards (Ep50, 2:55:38) Initiative Check"
"Suda (Ep51, 0:46:17) Athletics Check"
"Greenbeard (Ep52, 0:28:06) Wisdom Save"
"Archer 2 (Ep52, 1:08:05) Attack against Pike with disadvantage"
"War Monger (Ep52, 2:13:17) Dexterity Save"
"War Monger (Ep52, 2:13:20) Dexterity Save"
"War Monger (Ep52, 2:23:03) Attack against peasant"
