"","arc","arc_no","episode","turn_number","segment","actor","text","start_turn","end_turn","time_in_sec","word_count","words_per_minute","encounter_count","rp_combat","actor_guest","vox_machina","guest","staff","matt"
"1","Daring_Deeds",7,95,1,"prologue","MATT","hello, everyone, and welcome to tonight's episode of critical role, where a bunch of us nerdy-ass voice actors sit around and play dungeons and dragons.",0.251,6.363,6.112,28,274.869109947644,NA,"role_play","MATT",0,0,0,1
"2","Daring_Deeds",7,95,2,"prologue","TRAVIS","that's what we do!",6.363,7.706,1.343,6,268.056589724497,NA,"role_play","TRAVIS",1,0,0,0
"3","Daring_Deeds",7,95,3,"prologue","MATT","yep! so, welcome. we had a brief break last week as liam brought us through his delightfully dark and twisted mind. thank you again, liam, for running that.",7.706,16.694,8.988,29,193.591455273698,NA,"role_play","MATT",0,0,0,1
"4","Daring_Deeds",7,95,4,"prologue","LAURA","creepy!",16.694,17.725,1.031,2,116.39185257032,NA,"role_play","LAURA",1,0,0,0
"5","Daring_Deeds",7,95,5,"prologue","LIAM","i went to catholic school!",17.725,19.388,1.663,6,216.476247745039,NA,"role_play","LIAM",1,0,0,0
"6","Daring_Deeds",7,95,6,"prologue","MATT","it was awesome.",19.388,20.66,1.272,4,188.679245283019,NA,"role_play","MATT",0,0,0,1
"7","Daring_Deeds",7,95,7,"prologue","MARISHA","why am i not surprised?",20.66,22.883,2.223,6,161.943319838057,NA,"role_play","MARISHA",1,0,0,0
"8","Daring_Deeds",7,95,8,"prologue","MATT","so, anyway, glad you could join us. before we jump into tonight's game, we have some quick announcements to make. first and foremost, you want to talk about some new merch stuff that just got in there? what the hell you've got right there?",22.883,39.323,16.44,47,171.532846715328,NA,"role_play","MATT",0,0,0,1
"9","Daring_Deeds",7,95,9,"prologue","MARISHA","what's that?",39.323,40.647,1.324,4,181.268882175227,NA,"role_play","MARISHA",1,0,0,0
"10","Daring_Deeds",7,95,10,"prologue","ASHLEY","what are these?",40.647,43.026,2.379,4,100.882723833543,NA,"role_play","ASHLEY",1,0,0,0
"11","Daring_Deeds",7,95,11,"prologue","LAURA","what are these? these shirts are in the store right now! and the color, and they're so soft, i'll be petting you guys throughout the whole night.",43.026,52.348,9.322,30,193.091611242223,NA,"role_play","LAURA",1,0,0,0
"12","Daring_Deeds",7,95,12,"prologue","LIAM","they're soft like the hoodie. they're like a thin version of the soft hoodie.",52.348,55.218,2.87,17,355.400696864111,NA,"role_play","LIAM",1,0,0,0
