"","arc","arc_no","episode","turn_number","segment","actor","text","start_turn","end_turn","time_in_sec","word_count","words_per_minute","encounter_count","rp_combat","actor_guest","vox_machina","guest","staff","matt"
"1","Vestiges",5,65,1,"prologue","TALIESIN","pissblossom.",0.163,1.52,1.357,2,88.4303610906411,NA,"role_play","TALIESIN",1,0,0,0
"2","Vestiges",5,65,2,"prologue","MATT","hello, everyone, and welcome to tonight's episode of critical role, where taliesin jumps the gun and says his phrase too late.",1.52,7.295,5.775,23,238.961038961039,NA,"role_play","MATT",0,0,0,1
"3","Vestiges",5,65,3,"prologue","TRAVIS","way too late, man! way too late!",7.295,10.142,2.847,8,168.598524762908,NA,"role_play","TRAVIS",1,0,0,0
"4","Vestiges",5,65,4,"prologue","MATT","welcome. happy to be back. very emotional episode last week. we're going to kick it into the next step of vox machina's adventure this week, and then, me, marisha, and taliesin will be gone next week, so there will not be progression in this current storyline. however, liam o'brien over there has been cracking up an awesome one-shot adventure for our remaining players and a few guests. liam, if you want to talk a little about it?",10.142,33.759,23.617,82,208.324512004065,NA,"role_play","MATT",0,0,0,1
"5","Vestiges",5,65,5,"prologue","LIAM","yeah, i'll tell you who's coming on by. sure, i'll say who's coming on by. mary elizabeth mcglynn and ashly burch. and i don't want to spoil it, but matt knows. it's different.",33.759,48.396,14.637,40,163.968026234884,NA,"role_play","LIAM",1,0,0,0
"6","Vestiges",5,65,6,"prologue","MATT","yeah, it's going to be fun. this is liam's brainchild, and i'm excited to see them play through it.",48.396,56.84,8.444,23,163.429654192326,NA,"role_play","MATT",0,0,0,1
"7","Vestiges",5,65,7,"prologue","LIAM","it could blow up in my face.",56.84,58.768,1.928,8,248.96265560166,NA,"role_play","LIAM",1,0,0,0
"8","Vestiges",5,65,8,"prologue","MATT","i think you'll be fine. if the last game was any indication, i think you'll be fine. all right, other announcements: once again, we have our wonderful sponsor with a new theme kicking in. sam, you want to take this away?",58.768,74.911,16.143,44,163.538375766586,NA,"role_play","MATT",0,0,0,1
"9","Vestiges",5,65,9,"prologue","SAM","yes, i do, matt mercer. guys: loot crate. loot crate has been such a great sponsor all year long, and we got another great week to share with you. speed is this month's theme of the loot crate. i'm going to read this script first. lace up your sneakers or rev your engines. september's all about speed. feel the adrenaline with some of pop culture's quickest vehicles and characters. high-octane assortment of goodies from batman, the flash, the arrow, the battlestar galactica, the iron man, the gone in the sixty the seconds.",74.911,110.835,35.924,98,163.678877630553,NA,"role_play","SAM",1,0,0,0
"10","Vestiges",5,65,10,"prologue","SAM","it includes two collectibles, a figure, and as always, a monthly t-shirt. i'm wearing a t-shirt. not from this month, but from last month.",112.994,118.334,5.34,28,314.606741573034,NA,"role_play","SAM",1,0,0,0
"11","Vestiges",5,65,11,"prologue","LAURA","it's got futurama stuff on it.",118.334,119.87,1.536,8,312.5,NA,"role_play","LAURA",1,0,0,0
"12","Vestiges",5,65,12,"prologue","SAM","guys, i'm an actor. why would you listen to me about this stuff? i'm a liar and a deceiver. but what you can listen to, and what you know in your heart, is hardcore facts. i'm talking statistics. i'm talking math. i've broken this down for you guys. if you use the promo-code criticalrole, you'll get $3 off your first month. doesn't sound like a lot, you think? oh, that's 1.2 gallons of gas at the quik mart down the street. regular, unleaded. or let's say you're generous. you give loot crates to everyone in your family. that's four loot crates; that's $12. that is 25 and half forever stamps that you've just gotten for free. for free! let's say you're more generous than that. you give loot crates to everyone in your whole company. all 266 employees. you've just saved enough money to buy a 2002 kia sedona with 181,000 miles on it. the transmission is going out, and it doesn't shift in the higher gears, but it is for $800 on craigslist. go look for it right now, and it will be yours for free, essentially, if you buy 266 subscriptions to loot crate. 266.67. okay, that is <i>hardcore facts.</i> you can't argue with that. go out. subscribe now. save money. get stamps and gas.",119.87,208.007,88.137,242,164.743524286055,NA,"role_play","SAM",1,0,0,0
"13","Vestiges",5,65,13,"prologue","LIAM","if you don't slow your roll, loot crate is going to poach you.",208.007,212.883,4.876,15,184.577522559475,NA,"role_play","LIAM",1,0,0,0
"14","Vestiges",5,65,14,"prologue","MATT","all right, thank you, sam.",212.883,217.175,4.292,6,83.8769804287045,NA,"role_play","MATT",0,0,0,1
"15","Vestiges",5,65,15,"prologue","SAM","don't forget to use the promo code criticalrole.",217.175,220.492,3.31699999999998,10,180.886343081099,NA,"role_play","SAM",1,0,0,0
"16","Vestiges",5,65,16,"prologue","MATT","perfect. all right, other announcements that we have. let's see. projects that have come up. they recently announced and put up the english cast video for final fantasy xv. i have the pleasure of playing cor leonis. it's a lot of fun. as a longtime final fantasy fan, being a part of this means a great deal, and i'm excited for the game that comes out in november. so if you haven't checked out the video, do so and you can watch me wax poetic briefly about my love of the series. look forward to that.",220.492,251.758,31.266,101,193.82076376895,NA,"role_play","MATT",0,0,0,1
"17","Vestiges",5,65,17,"prologue","MARISHA","soundbiting it up in that.",251.758,253.367,1.60899999999998,6,223.741454319456,NA,"role_play","MARISHA",1,0,0,0
"18","Vestiges",5,65,18,"prologue","MATT","yeah, man! they chose my soundbite for the end of it. i was like. felt cool about that.",253.367,257.771,4.40400000000002,19,258.855585831061,NA,"role_play","MATT",0,0,0,1
"19","Vestiges",5,65,19,"prologue","MARISHA","it's like you're an actor.",257.771,259.195,1.42399999999998,8,337.078651685398,NA,"role_play","MARISHA",1,0,0,0
"20","Vestiges",5,65,20,"prologue","MATT","it's like i played a bunch of them. also, deus ex came out. mankind divided. i am scattered throughout the game with a very harsh russian, eastern european dialect, as many characters, probably yelling at you or being shot in the face. so enjoy that, as well.",259.195,274.598,15.403,49,190.871908069856,NA,"role_play","MATT",0,0,0,1
"21","Vestiges",5,65,21,"prologue","TRAVIS","i love shooting you in the face.",274.598,276.782,2.18399999999997,8,219.780219780223,NA,"role_play","TRAVIS",1,0,0,0
"22","Vestiges",5,65,22,"prologue","MATT","hey, you know? everyone's got a skillset. anybody else have anything they want to announce?",276.782,281.873,5.09100000000001,17,200.353565114908,NA,"role_play","MATT",0,0,0,1
"23","Vestiges",5,65,23,"prologue","SAM","we're nominated for an award, matt.",281.873,284.039,2.166,8,221.606648199446,NA,"role_play","SAM",1,0,0,0
"24","Vestiges",5,65,24,"prologue","MATT","that's right! we just got nominated for a streamy. a streamy award under gaming. games. it's awesome!",284.039,291.923,7.88400000000001,20,152.20700152207,NA,"role_play","MATT",0,0,0,1
"25","Vestiges",5,65,25,"prologue","SAM","it's our first nomination.",291.923,293.43,1.50700000000001,6,238.885202388851,NA,"role_play","SAM",1,0,0,0
"26","Vestiges",5,65,26,"prologue","TALIESIN","it's like the kids' choice awards for adults.",293.43,295.417,1.98699999999997,10,301.962757926528,NA,"role_play","TALIESIN",1,0,0,0
"27","Vestiges",5,65,27,"prologue","LAURA","but it's not. fans don't get to vote.",295.417,297.144,1.72700000000003,11,382.165605095534,NA,"role_play","LAURA",1,0,0,0
"28","Vestiges",5,65,28,"prologue","MATT","it is now decided by whatever the illuminati streamy committee is.",297.144,302.869,5.72500000000002,12,125.764192139737,NA,"role_play","MATT",0,0,0,1
"29","Vestiges",5,65,29,"prologue","SAM","wait, fans don't get to vote? i'm sure they can influence things.",302.869,307.91,5.041,15,178.53600476096,NA,"role_play","SAM",1,0,0,0
"30","Vestiges",5,65,30,"prologue","MARISHA","well, they nominated us, so we got this far because of them, and now we lose to markiplier.",307.91,318.591,10.681,19,106.731579440128,NA,"role_play","MARISHA",1,0,0,0
"31","Vestiges",5,65,31,"prologue","MATT","love you, mark. we're just excited to be in that ring. thank you guys for being so awesome and supporting us, and hopefully some of us will get to dress up fancy and show up and go home proud that we went.",318.591,334.621,16.03,44,164.691203992514,NA,"role_play","MATT",0,0,0,1
"32","Vestiges",5,65,32,"prologue","TALIESIN","we'll plug our other friends who are also nominated.",334.621,338.985,4.36400000000003,11,151.237396883592,NA,"role_play","TALIESIN",1,0,0,0
"33","Vestiges",5,65,33,"prologue","MATT","and muzzled the musical, which i co-created, which ashly burch stars in, who you'll see next week, that got nominated for best indie.",338.985,348.36,9.375,26,166.4,NA,"role_play","MATT",0,0,0,1
"34","Vestiges",5,65,34,"prologue","MARISHA","and sean becker. who's my director for signal boost. all in the fam.",348.36,355.138,6.77799999999996,15,132.782531720272,NA,"role_play","MARISHA",1,0,0,0
"35","Vestiges",5,65,35,"prologue","MATT","it's good. awesome. anything else you guys want to talk about?",355.138,359.675,4.53700000000003,13,171.919770773638,NA,"role_play","MATT",0,0,0,1
"36","Vestiges",5,65,36,"prologue","TRAVIS","yes! in the world of sportsball, the 2016 future super bowl champion dallas cowboys are playing the seattle seahawks right now! so if you see me looking down, it's not because i'm not paying attention. i'm watching football.",359.675,377.054,17.379,42,145.002589331953,NA,"role_play","TRAVIS",1,0,0,0
"37","Vestiges",5,65,37,"prologue","TALIESIN","i have never cared so much about football in my entire life as i do right now. which is saying, i don't necessarily care a lot. but definitely",377.054,384.364,7.31,29,238.030095759234,NA,"role_play","TALIESIN",1,0,0,0
"38","Vestiges",5,65,38,"prologue","LAURA","more than it was.",384.364,386.321,1.95700000000005,5,153.295861011749,NA,"role_play","LAURA",1,0,0,0
"39","Vestiges",5,65,39,"prologue","TRAVIS","everybody send sam a tweet. he's going to be crying at the outset of his team. sam, a moment of silence.",386.321,395.848,9.52699999999999,23,144.851474755957,NA,"role_play","TRAVIS",1,0,0,0
"40","Vestiges",5,65,40,"prologue","TALIESIN","i think he's lighting the set on fire.",395.848,398.025,2.17699999999996,10,275.608635737258,NA,"role_play","TALIESIN",1,0,0,0
"41","Vestiges",5,65,41,"prologue","LAURA","sam walked away so he wouldn't be on the same set as you were saying that.",398.025,402.334,4.30900000000003,18,250.638199118123,NA,"role_play","LAURA",1,0,0,0
"42","Vestiges",5,65,42,"prologue","MATT","anyone else have anything they want to talk about before we jump into the game?",402.334,408.671,6.33699999999999,16,151.491241912577,NA,"role_play","MATT",0,0,0,1
"43","Vestiges",5,65,43,"prologue","TALIESIN","no announcements until i get back, i think.",408.671,411.393,2.72199999999998,9,198.383541513594,NA,"role_play","TALIESIN",1,0,0,0
"44","Vestiges",5,65,44,"prologue","MATT","all righty. that being the case, then let's go ahead and hop into tonight's episode of critical role. [dramatic music]",411.393,506.136,94.7430000000001,23,14.5657198948735,NA,"role_play","MATT",0,0,0,1
"45","Vestiges",5,65,45,"prologue","MATT","hello, and welcome back. so to get you guys caught up: our band of adventurers, vox machina, in raising an army, hopefully, of allies and powerful artifacts to face the chroma conclave, a gathering of powerful, dangerous chromatic dragons that have been tearing through the countryside of tal'dorei and distant wildemount. they have recently found some information, had a close call with the frigid doom known as vorugal. the white dragon flyover did not pierce through the illusionary barrier that was placed with the help of allura, gilmore, and pike, there in whitestone. you then decided to go ahead and using that cue, before the dragon returned to its current roost that it has created over the ruins of the city of draconia, you traveled across to the continent of wildemount. you had a meeting with the ravenites, a rather subverted, long-enslaved offshoot species of dragonborn kin, tailless and now surviving amongst a recent winter that seems to have come with the ruin the dragon brought. you also discovered that most of draconia and its royal elite have been slaughtered as a means of the dragon establishing its dominance and the worship of the ravenites that survived the fall of draconia. you made a deal with tooma, the current clan leader of the remaining ravenites, that you would aid in destroying this dragon, basically the master that they replaced the draconians with when it came. however, to ensure your help there was a two-week time limit, and if you do not return before then they would see you as not keeping your end of the deal, and they would then, instead, direct the dragon towards what was going to be whitestone until you altered her memory, which she recalls now as emon. anyway, before you could be finding your way home, one of the corpses upon one of the ice spire spikes outside of the dragon's new nest, percy saw to be the remains of your long-traveled friend, tiberius stormwind. the party had a fateful farewell; set him to rest within the ruins of the nearby library, fallen from the islands of draconia; said your goodbyes; and then, upon prepping a bit, plotting, and planning, found your way back to whitestone to continue the next leg of your adventure. and that is where we begin. you have now taken some time in your own respective rooms. it's still late afternoon, going into dusk. you all took some time to yourselves within castle whitestone to take a short rest and ruminate over these recent events and reveals. the evening sun draws close to dusk. it is your choice which you wish to do. if you wish to spend the evening resting here and then leaving first thing in the morning, that is up to you.",506.198,689.872,183.674,471,153.85955551684,NA,"role_play","MATT",0,0,0,1
"46","Vestiges",5,65,46,"first_half_rp","LIAM","taking the initiative. this one came to my room, then inside. i think we've probably been quiet for a while, staring at the ceiling, and after a while finally say: we've really fucked things up, haven't we?",689.872,715.76,25.888,41,95.0247218788627,NA,"role_play","LIAM",1,0,0,0
"47","Vestiges",5,65,47,"first_half_rp","MARISHA","in which particular way do you mean, aside from all of them?",715.76,721.397,5.63700000000006,13,138.371474188397,NA,"role_play","MARISHA",1,0,0,0
"48","Vestiges",5,65,48,"first_half_rp","LIAM","i need to tell you. i know with all that's happened, between my new patron and my sister pretending to gag literally every time we attempt to share a word together, and mostly my own being fucked up in the head for weeks now, that i've pushed all of you away. you most of all. because i've been afraid you would i'm sorry. and you didn't deserve any of that. keyleth, i need you to know, through all of that, everything, nothing has changed about how i we've had so many near-misses. and now, finding tiberius. death is unavoidable. and it's all the more reason for life to be lived. and it doesn't matter to me what this is. what we call it. if you are willing to spend some time, any time, with me, then i will simply count myself lucky to have it. you're very dear to me.",721.397,868.105,146.708,161,65.8450800229026,NA,"role_play","LIAM",1,0,0,0
"49","Vestiges",5,65,49,"first_half_rp","MARISHA","you're talking too much. it's not like i've made myself very accessible either. it's not on you. it might be a little on you, but it's on both of us. anyway, my point is: for the longest time, i was terrified that i was going to lose you. first to death and then to the raven queen, which is still kind of like death, and then ultimately to yourself. and then i had an interesting talk with pike recently, and she said something that really stood out to me, and that was that some people just have more of themselves to give. and i realized this whole time that i was afraid of losing you to a future that ultimately has not yet been written, which is stupid.",868.105,955.299,87.194,134,92.2081794618896,NA,"role_play","MARISHA",1,0,0,0
"50","Vestiges",5,65,50,"first_half_rp","LIAM","maybe so.",955.299,959.38,4.08100000000002,3,44.1068365596666,NA,"role_play","LIAM",1,0,0,0
"51","Vestiges",5,65,51,"first_half_rp","MARISHA","but you're ultimately right. we have nothing to lose. i love you, vax. and i'm sorry for being me, that it took me this long to say it.",959.38,995.2,35.8200000000001,31,51.9262981574539,NA,"role_play","MARISHA",1,0,0,0
"52","Vestiges",5,65,52,"first_half_rp","LIAM","i'm sorry.",995.2,1008.963,13.7629999999999,4,17.4380585628134,NA,"role_play","LIAM",1,0,0,0
"53","Vestiges",5,65,53,"first_half_rp","MARISHA","yeah. me, too.",1008.963,1011.569,2.60599999999999,4,92.0951650038375,NA,"role_play","MARISHA",1,0,0,0
"54","Vestiges",5,65,54,"first_half_rp","LIAM","i love you. that's pretty fucking great.",1011.569,1021.026,9.45699999999999,9,57.1005604314265,NA,"role_play","LIAM",1,0,0,0
"55","Vestiges",5,65,55,"first_half_rp","MARISHA","that is pretty great, yeah. high five. yeah!",1021.026,1026.353,5.32700000000011,9,101.370377323069,NA,"role_play","MARISHA",1,0,0,0
"56","Vestiges",5,65,56,"first_half_rp","LIAM","i tackle her into a bit of a hug into the bed.",1026.353,1034.086,7.73299999999995,13,100.866416655891,NA,"role_play","LIAM",1,0,0,0
"57","Vestiges",5,65,57,"first_half_rp","LAURA","oh!",1034.086,1035.509,1.423,2,84.3288826423049,NA,"role_play","LAURA",1,0,0,0
"58","Vestiges",5,65,58,"first_half_rp","LIAM","we're already on the bed.",1035.509,1037.45,1.94100000000003,7,216.383307573412,NA,"role_play","LIAM",1,0,0,0
"59","Vestiges",5,65,59,"first_half_rp","MARISHA","and that's it for now.",1037.45,1046.235,8.78499999999985,7,47.8087649402398,NA,"role_play","MARISHA",1,0,0,0
"60","Vestiges",5,65,60,"first_half_rp","SAM","pan to the fireplace.",1046.235,1049.898,3.66300000000001,5,81.9000819000817,NA,"role_play","SAM",1,0,0,0
"61","Vestiges",5,65,61,"first_half_rp","TRAVIS","pan to the fireplace!",1049.898,1053.855,3.95700000000011,5,75.8150113722497,NA,"role_play","TRAVIS",1,0,0,0
"62","Vestiges",5,65,62,"first_half_rp","MATT","all right, so. vox machina. taking your time to mourn in your own interesting ways. what is your path of action? what is your course, going forward?",1053.855,1070.554,16.6990000000001,28,100.604826636325,NA,"role_play","MATT",0,0,0,1
"63","Vestiges",5,65,63,"first_half_rp","LIAM","sleeping in.",1070.554,1072.074,1.51999999999998,3,118.42105263158,NA,"role_play","LIAM",1,0,0,0
"64","Vestiges",5,65,64,"first_half_rp","MARISHA","bacon.",1072.074,1073.898,1.82399999999984,2,65.7894736842162,NA,"role_play","MARISHA",1,0,0,0
"65","Vestiges",5,65,65,"first_half_rp","LAURA","yeah, i think we need to spend at least the night in whitestone and get up in the morning.",1073.898,1082.617,8.71900000000005,20,137.630462208968,NA,"role_play","LAURA",1,0,0,0
"66","Vestiges",5,65,66,"first_half_rp","MATT","okay. so you've all spent the majority of it in your respective rooms most of you in your respective rooms figuring out where you are as a person and where this story leads you. after an evening's rest, the next morning comes around, breakfast is already prepared by the servants in the castle, though maybe not the amount of bacon you were hoping, and easily rectified upon request. it's at your disposal. there is a tension in the city; the barrier remains up. as you're having breakfast, you can see zahra wander in at the smell of bacon, glances over the rest of you, still holding a book at her side that she slams closed. ""oh. i'm glad to see you're all ""right, and you're safe. please tell me there's more bacon.""",1082.617,1137.256,54.6390000000001,141,154.834458902981,NA,"role_play","MATT",0,0,0,1
"67","Vestiges",5,65,67,"first_half_rp","TRAVIS","not for long.",1137.256,1139.387,2.13099999999986,4,112.623181604888,NA,"role_play","TRAVIS",1,0,0,0
"68","Vestiges",5,65,68,"first_half_rp","LAURA","there's more coming, dear.",1139.387,1142.418,3.03099999999995,6,118.772682283077,NA,"role_play","LAURA",1,0,0,0
"69","Vestiges",5,65,69,"first_half_rp","TRAVIS","what she said.",1142.418,1144.214,1.79600000000005,4,133.63028953229,NA,"role_play","TRAVIS",1,0,0,0
"70","Vestiges",5,65,70,"first_half_rp","MATT","she comes and sits down and spends breakfast with you guys, catching up on what has transpired and what your current plan of action is.",1144.214,1151.038,6.82400000000007,26,228.604923798356,NA,"role_play","MATT",0,0,0,1
"71","Vestiges",5,65,71,"first_half_rp","TALIESIN","zahra, it occurs to me, you come from a family with power, connections.",1151.038,1159.225,8.1869999999999,14,102.601685599122,NA,"role_play","TALIESIN",1,0,0,0
"72","Vestiges",5,65,72,"first_half_rp","MATT","""kind of. let's just say we're estranged at the moment.""",1159.225,1167.169,7.94400000000019,14,105.74018126888,NA,"role_play","MATT",0,0,0,1
"73","Vestiges",5,65,73,"first_half_rp","TALIESIN","well, we're looking for any ally we could, and we were curious if",1167.169,1173.158,5.98899999999981,14,140.257138086496,NA,"role_play","TALIESIN",1,0,0,0
"74","Vestiges",5,65,74,"first_half_rp","MATT","""you will find no allies where you're asking. believe me, i'd be happy to offer if we ""could, but no.""",1173.158,1180.798,7.6400000000001,24,188.481675392668,NA,"role_play","MATT",0,0,0,1
"75","Vestiges",5,65,75,"first_half_rp","TALIESIN","i had a feeling. it just felt worth asking.",1180.798,1183.956,3.1579999999999,10,189.993666877777,NA,"role_play","TALIESIN",1,0,0,0
"76","Vestiges",5,65,76,"first_half_rp","MATT","""it's all right. i'm going to continue with my research, since the rest of the ziggurat clan ""are now scattered about or maintaining that barrier. guess who has to do the research in the ""meantime?"" and she rolls her sleeves up; you can see the slightly smudged dirt across her reddish skin. she's been hard at work digging around trying to figure out what the basis of this enchantment beneath the city still is.",1183.956,1209.481,25.5250000000001,79,185.700293829578,NA,"role_play","MATT",0,0,0,1
"77","Vestiges",5,65,77,"first_half_rp","LAURA","sorry you can't be out having your fun, dear.",1209.481,1212.123,2.64200000000005,11,249.810749432243,NA,"role_play","LAURA",1,0,0,0
"78","Vestiges",5,65,78,"first_half_rp","MATT","""i'm certain time will allow me at some point. it better. i'm going a little stir-crazy."" she grabs the bacon from the table and walks out of the room.",1212.123,1223.114,10.991,34,185.606405240652,NA,"role_play","MATT",0,0,0,1
"79","Vestiges",5,65,79,"first_half_rp","TALIESIN","is kashaw around by any chance, as well?",1223.114,1225.897,2.7829999999999,9,194.035213798067,NA,"role_play","TALIESIN",1,0,0,0
"80","Vestiges",5,65,80,"first_half_rp","MATT","""i'm sorry, what?""",1225.897,1227.507,1.61000000000013,6,223.602484472032,NA,"role_play","MATT",0,0,0,1
"81","Vestiges",5,65,81,"first_half_rp","TALIESIN","kashaw. is kashaw around?",1227.507,1229.834,2.327,5,128.921357971637,NA,"role_play","TALIESIN",1,0,0,0
"82","Vestiges",5,65,82,"first_half_rp","MATT","""i haven't seen him for a couple days. i've been underground most of the time.""",1229.834,1234.963,5.12899999999991,19,222.265548839934,NA,"role_play","MATT",0,0,0,1
"83","Vestiges",5,65,83,"first_half_rp","TALIESIN","yes, of course. we have to send a letter to the slayer's take at some point. that should happen sooner rather than later.",1234.963,1244.741,9.77800000000002,25,153.405604418081,NA,"role_play","TALIESIN",1,0,0,0
"84","Vestiges",5,65,84,"first_half_rp","MARISHA","trying to wrangle a beast?",1244.741,1246.515,1.77400000000011,6,202.931228861317,NA,"role_play","MARISHA",1,0,0,0
"85","Vestiges",5,65,85,"first_half_rp","TALIESIN","trying to wrangle a beast or seeing if they know of anything that's in the vicinity that we can at least feed to it in the meantime.",1246.515,1251.182,4.66699999999992,29,372.830512106285,NA,"role_play","TALIESIN",1,0,0,0
"86","Vestiges",5,65,86,"first_half_rp","LAURA","maybe we can stop through on our way back. we are going to marquet, aren't we?",1251.182,1255.09,3.9079999999999,18,276.3561924258,NA,"role_play","LAURA",1,0,0,0
"87","Vestiges",5,65,87,"first_half_rp","TALIESIN","i would hope so.",1255.09,1256.455,1.36500000000001,5,219.780219780218,NA,"role_play","TALIESIN",1,0,0,0
"88","Vestiges",5,65,88,"first_half_rp","MARISHA","and what's our intent in marquet? to get the next vestige?",1256.455,1261.719,5.26400000000012,13,148.17629179331,NA,"role_play","MARISHA",1,0,0,0
"89","Vestiges",5,65,89,"first_half_rp","TALIESIN","to get to the next vestige and to perhaps make some friends. the more the merrier.",1261.719,1267.539,5.81999999999994,17,175.257731958765,NA,"role_play","TALIESIN",1,0,0,0
"90","Vestiges",5,65,90,"first_half_rp","LIAM","and the means of travel is?",1267.539,1269.876,2.33699999999999,7,179.717586649552,NA,"role_play","LIAM",1,0,0,0
"91","Vestiges",5,65,91,"first_half_rp","TALIESIN","we have a sigil. we can teleport.",1269.876,1272.305,2.42900000000009,8,197.612186084801,NA,"role_play","TALIESIN",1,0,0,0
"92","Vestiges",5,65,92,"first_half_rp","LAURA","gilmore. gilmore's from marquet.",1272.305,1277.394,5.08899999999994,6,70.7408135193563,NA,"role_play","LAURA",1,0,0,0
"93","Vestiges",5,65,93,"first_half_rp","TALIESIN","this is a teleport sigil. this is not going to require his attention.",1277.394,1280.916,3.52199999999993,14,238.500851788761,NA,"role_play","TALIESIN",1,0,0,0
"94","Vestiges",5,65,94,"first_half_rp","MARISHA","yeah, it's located in whitestone castle, correct? the teleport sigil?",1280.916,1285.984,5.06799999999998,12,142.067876874507,NA,"role_play","MARISHA",1,0,0,0
"95","Vestiges",5,65,95,"first_half_rp","MATT","it's actually a sigil by memory that he has, and it's a spell that he casts. it's not a permanent fixture in the city.",1285.984,1293.932,7.94800000000009,28,211.373930548563,NA,"role_play","MATT",0,0,0,1
"96","Vestiges",5,65,96,"first_half_rp","TALIESIN","so we need him, but he can do it.",1293.932,1295.84,1.9079999999999,10,314.465408805048,NA,"role_play","TALIESIN",1,0,0,0
"97","Vestiges",5,65,97,"first_half_rp","SAM","yeah, but he's concentrating on the defensive wall right now.",1295.84,1299.607,3.76700000000005,12,191.133528006368,NA,"role_play","SAM",1,0,0,0
