"","arc","arc_no","episode","turn_number","segment","actor","text","start_turn","end_turn","time_in_sec","word_count","words_per_minute","encounter_count","rp_combat","actor_guest","vox_machina","guest","staff","matt"
"1","Vestiges",5,57,1,"prologue","MATT","welcome to tonight's episode of critical role, where a bunch of us nerdy-ass voice actors battle traffic from e3 to get here in time to roll dice and play dungeons and dragons.",0,9.49,9.49,35,221.285563751317,NA,"role_play","MATT",0,0,0,1
"2","Vestiges",5,57,2,"prologue","MARISHA","all the video games.",11,12.79,1.79,5,167.597765363129,NA,"role_play","MARISHA",1,0,0,0
"3","Vestiges",5,57,3,"prologue","MATT","thank you for being patient and waiting for us with a couple of tech issues and generally battling living in los angeles and having a car. anyway, before we kick the night off, real fast, i just want to take a moment to acknowledge and i feel it's important to acknowledge there's been a lot of difficulty and a lot of terrible things happening in the world and in our country in particular this past week or so. and us as critical role and this community around, i'm sure many of you agree, we just wanted to take a moment to express that we stand with the families of those that are currently dealing with this difficulty, who have lost those, and stand with the community that this was aimed at. and everybody who has come together as part of this, we are in full support of this whole wonderful gathering of people in light of this darkness, and i think it's not just myself when i say that everything this community stands for is to perpetually spread love, community, positivity, acceptance, and everything in between. so we just wanted to bring that to you guys and let you know that we're thinking about you all out there. and we have a wonderful community of critters out there as well. if anyone needs any help, assistance, or guidance, or even just a happy word to pick them up during this rough time, we're all there for you. so, anyway. then, to kick off this evening of announcements and such, we are kicking into the second day of our renewed loot crate sponsorship.",12.79,115.23,102.44,279,163.412729402577,NA,"role_play","MATT",0,0,0,1
"4","Vestiges",5,57,4,"prologue","MATT","we wanted to reinforce that their current theme is dystopia, which is an awesome theme box that deals with all sorts of things of post-apocalypse and dystopian-type films, games, the whole thing. they have fallout, robocop, bioshock, a whole bunch of really, really cool things, so if you guys want to go to lootcrate.com/criticalrole, you can go ahead and get $3 off your subscription and get a whole bunch of that cool stuff. we also have the dystopia dx, which is their big collector's box",117.92,147.68,29.76,90,181.451612903226,NA,"role_play","MATT",0,0,0,1
"5","Vestiges",5,57,5,"prologue","TRAVIS","so awesome.",147.68,148.54,0.859999999999985,3,209.302325581399,NA,"role_play","TRAVIS",1,0,0,0
"6","Vestiges",5,57,6,"prologue","MATT","which we showed last week.",148.54,150,1.46000000000001,6,246.575342465752,NA,"role_play","MATT",0,0,0,1
"7","Vestiges",5,57,7,"prologue","LAURA","oh, is that what this one was from?",150,152,2,9,270,NA,"role_play","LAURA",1,0,0,0
"8","Vestiges",5,57,8,"prologue","MARISHA","yeah, your sweet shirt.",152,154,2,5,150,NA,"role_play","MARISHA",1,0,0,0
"9","Vestiges",5,57,9,"prologue","MATT","that's pretty slick. if you guys have a chance to check it out, go see if it's something you'd be interested in, and make sure you put in the criticalrole all one word code to go ahead and get your subscription discount, which is fantastic.",155.59,170,14.41,49,204.024982650937,NA,"role_play","MATT",0,0,0,1
"10","Vestiges",5,57,10,"prologue","TRAVIS","yeah.",170,171,1,2,120,NA,"role_play","TRAVIS",1,0,0,0
"11","Vestiges",5,57,11,"prologue","MATT","we're happy to present that and are happy that they like our show enough to come and sponsor, which is awesome. so check that out. you have until the 19th at 9pm pacific to subscribe and receive the dystopia theme, otherwise it switches over to the next theme, so if you're gonna get under the wire for that one, do it soon. it's like a yeah! we have a",171,191,20,72,216,NA,"role_play","MATT",0,0,0,1
"12","Vestiges",5,57,12,"prologue","TRAVIS","we’re giving out crates in a chat room thing, don't we?",191,194,3,14,280,NA,"role_play","TRAVIS",1,0,0,0
"13","Vestiges",5,57,13,"prologue","MATT","you think so?",194,195,1,4,240,NA,"role_play","MATT",0,0,0,1
"14","Vestiges",5,57,14,"prologue","TRAVIS","yeah.",195,196.68,1.68000000000001,2,71.4285714285711,NA,"role_play","TRAVIS",1,0,0,0
"15","Vestiges",5,57,15,"prologue","LAURA","we are?",196.68,198,1.31999999999999,3,136.363636363637,NA,"role_play","LAURA",1,0,0,0
"16","Vestiges",5,57,16,"prologue","TALIESIN","are we?",198,199,1,3,180,NA,"role_play","TALIESIN",1,0,0,0
"17","Vestiges",5,57,17,"prologue","LAURA","that's exciting!",199,200.35,1.34999999999999,4,177.777777777779,NA,"role_play","LAURA",1,0,0,0
"18","Vestiges",5,57,18,"prologue","ASHLEY","it's going to be one at the break? it's going to be a giveaway at the break?",200.35,204.07,3.72,20,322.58064516129,NA,"role_play","ASHLEY",1,0,0,0
"19","Vestiges",5,57,19,"prologue","MATT","oh, snap.",204.07,204.96,0.890000000000015,3,202.247191011233,NA,"role_play","MATT",0,0,0,1
"20","Vestiges",5,57,20,"prologue","ASHLEY","i'm just going to start making stuff up.",204.96,206.26,1.29999999999998,10,461.538461538468,NA,"role_play","ASHLEY",1,0,0,0
"21","Vestiges",5,57,21,"prologue","TRAVIS","is that did you just point and",206.26,208,1.74000000000001,7,241.379310344826,NA,"role_play","TRAVIS",1,0,0,0
"22","Vestiges",5,57,22,"prologue","ASHLEY","point, shoot.",208,209,1,3,180,NA,"role_play","ASHLEY",1,0,0,0
