"","arc","arc_no","episode","turn_number","segment","actor","text","start_turn","end_turn","time_in_sec","word_count","words_per_minute","encounter_count","rp_combat","actor_guest","vox_machina","guest","staff","matt"
"1","End",8,115,1,"prologue","MATT","hello, everyone, and welcome to tonight's episode of critical role, where a bunch of us nerdy-ass voice actors sit around and play dungeons and dragons. glad you could join us for what is essentially the final and epilogue episode of our five-year campaign. we're excited you guys could come join us.",0.766,16.653,15.887,56,211.493674073142,NA,"role_play","MATT",0,0,0,1
"2","End",8,115,2,"prologue","SAM","not the final episode of the show!",16.653,17.988,1.335,8,359.550561797753,NA,"role_play","SAM",1,0,0,0
"3","End",8,115,3,"prologue","MATT","we will return. we're looking probably at the start of the new year with a new campaign, new characters.",17.988,24.736,6.748,21,186.721991701245,NA,"role_play","MATT",0,0,0,1
"4","End",8,115,4,"prologue","LAURA","but we'll have one-shots and stuff in between.",24.736,26.651,1.915,11,344.647519582246,NA,"role_play","LAURA",1,0,0,0
"5","End",8,115,5,"prologue","MATT","yeah, we'll have fun stuff to break it up and give us some time to let off some steam in the meantime. but before we get into tonight's game, let's get through some quick announcements. first off, we wanted to give a shout out. if you guys haven't seen it yet, shadow of war just came out, the sequel to shadow of mordor. a bunch of us have worked on it and if you haven't seen, we had the opportunity to do a cool thing with wb games and the folks at monolith. we did a shadow of war one-shot that was uploaded as a two-parter.",26.651,50.776,24.125,114,283.523316062176,NA,"role_play","MATT",0,0,0,1
"6","End",8,115,6,"prologue","LAURA","it was so much fun!",50.776,52.387,1.611,6,223.463687150838,NA,"role_play","LAURA",1,0,0,0
"7","End",8,115,7,"prologue","LIAM","you were so cute, all of you. it was the cutest orc adventure that ever happened.",52.387,57.335,4.948,17,206.143896523848,NA,"role_play","LIAM",1,0,0,0
"8","End",8,115,8,"prologue","SAM","you watched it?",57.335,59.481,2.146,4,111.835973904939,NA,"role_play","SAM",1,0,0,0
"9","End",8,115,9,"prologue","LIAM","both episodes.",59.481,61.127,1.646,3,109.356014580802,NA,"role_play","LIAM",1,0,0,0
"10","End",8,115,10,"prologue","LAURA","thanks bro!",61.127,62.518,1.391,3,129.403306973401,NA,"role_play","LAURA",1,0,0,0
"11","End",8,115,11,"prologue","MATT","it was a lot of fun. we had sam, laura, travis, and the illustrious darin de paul as our four orcs and/or olog-hai, charging their way through mordor in hopes of victory spoils and all that.",62.518,73.897,11.379,39,205.641972053783,NA,"role_play","MATT",0,0,0,1
"12","End",8,115,12,"prologue","LAURA","it's <i>real</i> fun to be stupid.",73.897,76.789,2.892,10,207.46887966805,NA,"role_play","LAURA",1,0,0,0
"13","End",8,115,13,"prologue","TRAVIS","i don't know what you're talking about.",76.789,79.292,2.503,10,239.712345185777,NA,"role_play","TRAVIS",1,0,0,0
"14","End",8,115,14,"prologue","MATT","so i recommend checking it out if you haven't yet. merch update, laura?",79.292,83.251,3.959,15,227.33013387219,NA,"role_play","MATT",0,0,0,1
"15","End",8,115,15,"prologue","LIAM","wait! something i can say now. i didn't have the green light, but i am in that game. i had to fib and say that i wasn't in that game, but i'm in that game! i am back as gollum! and i run around and i do this, and i do this, and i do this, and i do this. tasty fish!",83.251,104.043,20.792,66,190.457868410927,NA,"role_play","LIAM",1,0,0,0
"16","End",8,115,16,"prologue","MATT","if you guys haven't seen liam's gollum in the games, it's the most ridiculous",104.043,109.997,5.95399999999999,17,171.313402754451,NA,"role_play","MATT",0,0,0,1
"17","End",8,115,17,"prologue","TRAVIS","also to point out, you did the full mo-cap for it. not just the vo.",109.997,114.824,4.827,17,211.311373523928,NA,"role_play","TRAVIS",1,0,0,0
"18","End",8,115,18,"prologue","LIAM","broke my back, scuttled around like i was a young buck, which i'm not. it was great!",114.824,120.809,5.985,19,190.47619047619,NA,"role_play","LIAM",1,0,0,0
"19","End",8,115,19,"prologue","LAURA","i wish i still had the video of you that you sent me after you first started, yeah. when he first started playing gollum, he sent me this video of him running around his living room, jumping up on his couch, then running over and jumping up your entertainment system or something.",120.809,136.423,15.614,53,203.663379018829,NA,"role_play","LAURA",1,0,0,0
"20","End",8,115,20,"prologue","LIAM","i put my laptop on the coffee table, i hit click, and i started going",136.423,140.376,3.953,15,227.675183405009,NA,"role_play","LIAM",1,0,0,0
"21","End",8,115,21,"prologue","LAURA","it was so amazing.",140.376,142.605,2.22899999999998,5,134.589502018843,NA,"role_play","LAURA",1,0,0,0
"22","End",8,115,22,"prologue","LIAM","because i'm a nerd.",142.605,144.752,2.14700000000002,6,167.675826734978,NA,"role_play","LIAM",1,0,0,0
"23","End",8,115,23,"prologue","MATT","awesome. well, thank you for the follow-up on that, liam. laura?",144.752,149.262,4.50999999999999,13,172.949002217295,NA,"role_play","MATT",0,0,0,1
"24","End",8,115,24,"prologue","LAURA","oh, well, technically, i have to shove this one to liam and taliesin, as well.",149.262,155.141,5.87899999999999,16,163.293077053921,NA,"role_play","LAURA",1,0,0,0
"25","End",8,115,25,"prologue","TALIESIN","i feel like we've been doing the thing for a while now.",155.141,159.999,4.858,14,172.910662824207,NA,"role_play","TALIESIN",1,0,0,0
"26","End",8,115,26,"prologue","LIAM","yeah, like when parents have a baby, you don't see them for a while. they're with that baby every hour, every minute.",159.999,168.181,8.18200000000002,25,183.329259349792,NA,"role_play","LIAM",1,0,0,0
"27","End",8,115,27,"prologue","LIAM","oh my gosh, it's the new art book! oh my god, it's gorgeous! i took it out of the ark of the covenant, and here it is!",175.311,183.178,7.86699999999999,30,228.803864243041,NA,"role_play","LIAM",1,0,0,0
"28","End",8,115,28,"prologue","LAURA","okay, i should qualify this, because it's not in the store yet, you guys, so don't go to the store and freak out. it just came into the office.",183.178,192.611,9.43299999999999,32,203.540761157638,NA,"role_play","LAURA",1,0,0,0
"29","End",8,115,29,"prologue","LIAM","yeah, this is just our viewing copy. there will be more details",192.611,196.283,3.672,12,196.078431372549,NA,"role_play","LIAM",1,0,0,0
"30","End",8,115,30,"prologue","SAM","what does it say on the title there?",196.283,198.319,2.036,9,265.225933202357,NA,"role_play","SAM",1,0,0,0
"31","End",8,115,31,"prologue","LIAM","it says the chronicles of exandria: the tale of vox machina. one.",198.319,203.308,4.989,13,156.34395670475,NA,"role_play","LIAM",1,0,0,0
"32","End",8,115,32,"prologue","SAM","volume one? implying that there's going to be more?",203.308,206.298,2.99000000000001,11,220.735785953177,NA,"role_play","SAM",1,0,0,0
"33","End",8,115,33,"prologue","TALIESIN","implying that we'd like to.",206.298,208.535,2.23699999999999,7,187.751452838624,NA,"role_play","TALIESIN",1,0,0,0
"34","End",8,115,34,"prologue","LIAM","we'd like there to be. and you guys can tune in next week to talks machina, where we will have more info, more details.",208.535,217.776,9.24100000000001,26,168.812899036901,NA,"role_play","LIAM",1,0,0,0
"35","End",8,115,35,"prologue","LAURA","we'll say when they're going to go in the store.",217.776,220.454,2.678,13,291.26213592233,NA,"role_play","LAURA",1,0,0,0
