"","arc","arc_no","episode","turn_number","segment","actor","text","start_turn","end_turn","time_in_sec","word_count","words_per_minute","encounter_count","rp_combat","actor_guest","vox_machina","guest","staff","matt"
"1","Vasselheim",2,18,1,"prologue","MATT","welcome, and hello everyone to the next episode of critical role. a silly show where a bunch of us voice actors get together and play dungeons and dragons on geek and sundry's twitch stream. so for returning fans, welcome, and to all the new folks tuning in finally, welcome to you as well. so before we get into the meat, a few announcements and such, let's roll that intro.",0.468,21.427,20.959,72,206.116704041223,NA,"role_play","MATT",0,0,0,1
"2","Vasselheim",2,18,2,"prologue","TRAVIS","silly? [dramatic music]",21.427,89.559,68.132,4,3.52257382727646,NA,"role_play","TRAVIS",1,0,0,0
"3","Vasselheim",2,18,3,"prologue","MATT","and welcome back. so, a couple things i want to get off the bat to you guys. our subscription giveaways this evening. for every hundred subscribers, we are giving away special care packages with d&d books signed by the critical role crew, as well as a signed photo, comics, other goodies. so the next one will be at 5,300, we will do another giveaway. remember, you have to be in the chat room to be able to acquire one of these packages. so tune in to get something. keep that in mind.",89.633,119.483,29.85,95,190.954773869347,NA,"role_play","MATT",0,0,0,1
"4","Vasselheim",2,18,4,"prologue","LAURA","yeah.",119.483,120.65,1.167,2,102.827763496144,NA,"role_play","LAURA",1,0,0,0
"5","Vasselheim",2,18,5,"prologue","MATT","also, for those who may not remember from last week, we are in a very interesting month of critical role, as the party has been split due to a circumstance where, in the city of vasselheim, the party, chasing after a hydra that seemed to be harrying the outside walls of the city and slaying it, got in the way and accidentally broke the laws of the vasselheim by hunting and slaying when they weren't approved to do so. being called skags by a band of hunters that works for the slayer's take guildhall. a guild that pretty much regulates most hunting of monsters and creatures within the vicinity of vasselheim. so, as opposed to going up and dealing with charges at the seat of justice, they instead were given the option by the head of the guild hall to possibly join, but in order to do so, they would have to fulfill a contract and prove themselves worthy of being a member of the guild. and the guild master, our fantastic huntmaster vanessa cyndrial, hand-picked two different groups, splitting up the twins, and they have all set out to return the next day to join, and figure out what their contract will be. so, this week we have playing: we have grog. we have vex'ahlia. we have percy. we have the shortly arriving here scanlan, who has been fighting l.a. traffic.",120.65,200.383,79.733,238,179.097738702921,NA,"role_play","MATT",0,0,0,1
"6","Vasselheim",2,18,6,"prologue","TRAVIS","he's here!",200.383,202.488,2.10499999999999,4,114.014251781473,NA,"role_play","TRAVIS",1,0,0,0
"7","Vasselheim",2,18,7,"prologue","MATT","quite literally shortly arriving, scanlan.",202.488,204.483,1.995,6,180.451127819548,NA,"role_play","MATT",0,0,0,1
"8","Vasselheim",2,18,8,"prologue","TRAVIS","like superman, that was amazing.",204.483,206.681,2.19800000000001,6,163.78525932666,NA,"role_play","TRAVIS",1,0,0,0
"9","Vasselheim",2,18,9,"prologue","MATT","and eventually to join the party as they slowly make their way there mysterious head kiss. this is the best thursday ever. we have joining us eventually at some point we have the very wonderful and talented mary elizabeth mcglynn. a fantastic, talented voice actress and director and amazing person.",206.681,230.898,24.217,51,126.357517446422,NA,"role_play","MATT",0,0,0,1
"10","Vasselheim",2,18,10,"prologue","MARY","hello, sorry.",230.898,233.178,2.28,3,78.9473684210526,NA,"role_play","GUESTS",0,1,0,0
"11","Vasselheim",2,18,11,"prologue","MATT","so look her stuff up online. she is also a great musician, singer, and this is her first time playing dungeons and dragons.",233.178,240.392,7.214,24,199.611865816468,NA,"role_play","MATT",0,0,0,1
"12","Vasselheim",2,18,12,"prologue","TRAVIS","newbie!",240.392,241.572,1.18000000000001,2,101.694915254237,NA,"role_play","TRAVIS",1,0,0,0
"13","Vasselheim",2,18,13,"prologue","MARY","newbie!",241.572,242.828,1.256,2,95.5414012738853,NA,"role_play","GUESTS",0,1,0,0
"14","Vasselheim",2,18,14,"prologue","MATT","yeah, i'm super excited.",242.828,244.35,1.52199999999999,6,236.530880420501,NA,"role_play","MATT",0,0,0,1
"15","Vasselheim",2,18,15,"prologue","TRAVIS","i'm going to kill you.",244.35,245.626,1.27600000000001,7,329.153605015671,NA,"role_play","TRAVIS",1,0,0,0
"16","Vasselheim",2,18,16,"prologue","MARY","yes.",245.626,246.453,0.826999999999998,2,145.102781136639,NA,"role_play","GUESTS",0,1,0,0
"17","Vasselheim",2,18,17,"prologue","MATT","probably. and in the middle of the other table, we have our other illustrious guest this evening. the so-called headmaster of geek and sundry herself, felicia day. thank you for joining us, felicia.",246.453,259.897,13.444,35,156.203510859863,NA,"role_play","MATT",0,0,0,1
"18","Vasselheim",2,18,18,"prologue","FELICIA","i like to refer to myself as duchess, grand duchess.",259.897,261.818,1.92099999999999,11,343.571056741282,NA,"role_play","GUESTS",0,1,0,0
"19","Vasselheim",2,18,19,"prologue","MATT","grand duchess, also viable.",261.818,263.145,1.327,5,226.073850791259,NA,"role_play","MATT",0,0,0,1
"20","Vasselheim",2,18,20,"prologue","SAM","golf claps.",263.145,264.949,1.80400000000003,3,99.7782705099761,NA,"role_play","SAM",1,0,0,0
"21","Vasselheim",2,18,21,"prologue","FELICIA","golf claps, very appropriate.",264.949,266.668,1.71899999999999,5,174.520069808029,NA,"role_play","GUESTS",0,1,0,0
"22","Vasselheim",2,18,22,"prologue","MATT","so yeah, thank you so much for joining.",266.668,270.293,3.625,9,148.965517241379,NA,"role_play","MATT",0,0,0,1
"23","Vasselheim",2,18,23,"prologue","FELICIA","i'm so excited to be here. i'm a huge fan of the show, so i spend my thursdays watching you guys.",270.293,275.676,5.38299999999998,24,267.508824075795,NA,"role_play","GUESTS",0,1,0,0
"24","Vasselheim",2,18,24,"prologue","SAM","who is your favorite character on the show?",275.676,277.523,1.84700000000004,9,292.365998917157,NA,"role_play","SAM",1,0,0,0
"25","Vasselheim",2,18,25,"prologue","LAURA","say trinket, say trinket",277.523,279.236,1.71299999999997,4,140.10507880911,NA,"role_play","LAURA",1,0,0,0
"26","Vasselheim",2,18,26,"prologue","FELICIA","not the one with the scatological problem.",279.236,282.098,2.86200000000002,8,167.714884696015,NA,"role_play","GUESTS",0,1,0,0
"27","Vasselheim",2,18,27,"prologue","SAM","i think of it more as a gift.",282.098,286.337,4.23899999999998,9,127.388535031848,NA,"role_play","SAM",1,0,0,0
"28","Vasselheim",2,18,28,"prologue","TALIESIN","that keeps giving and giving and...",286.395,288.609,2.214,7,189.70189701897,NA,"role_play","TALIESIN",1,0,0,0
"29","Vasselheim",2,18,29,"prologue","MARY","the one who likes to talk to poo.",288.609,290.895,2.286,9,236.220472440945,NA,"role_play","GUESTS",0,1,0,0
"30","Vasselheim",2,18,30,"prologue","TRAVIS","well that's a lot of us, actually.",290.895,293.847,2.952,9,182.926829268293,NA,"role_play","TRAVIS",1,0,0,0
"31","Vasselheim",2,18,31,"prologue","MATT","before we get into the nitty gritty, do we have any announcements we want to make? anything in particular coming up? i believe, laura, you're bolting at the end of the game.",293.847,303.548,9.70100000000002,34,210.287599216575,NA,"role_play","MATT",0,0,0,1
"32","Vasselheim",2,18,32,"prologue","LAURA","i'm leaving probably during the game, to catch my flight to go to gencon for the titansgrave panel. tomorrow!",303.548,310.154,6.60599999999999,21,190.735694822888,NA,"role_play","LAURA",1,0,0,0
"33","Vasselheim",2,18,33,"prologue","MATT","yeah! which for the record, i want to point out guys, this is how much laura loves you. she was going to miss today's game but then bit the bullet, changed her flight, just so she could be here to play with everyone.",310.154,320.606,10.452,45,258.323765786452,NA,"role_play","MATT",0,0,0,1
"34","Vasselheim",2,18,34,"prologue","FELICIA","golf claps.",320.606,324.053,3.447,3,52.219321148825,NA,"role_play","GUESTS",0,1,0,0
"35","Vasselheim",2,18,35,"prologue","LAURA","well, after i saw my glorious trinket yesterday, there was no choice really.",324.102,328.854,4.75200000000001,14,176.767676767676,NA,"role_play","LAURA",1,0,0,0
"36","Vasselheim",2,18,36,"prologue","MATT","the trinket that devours, by the way. every person that's hugged that bear has vanished, temporarily, within its physical form. it is a new wonderful addition to the chat room i mean to the whole show, and thank you to the critters for making that happen. it's ridiculous. it's you guys are the best, i have no words. anything else anyone wants to announce? anything coming up?",328.854,351.314,22.46,71,189.67052537845,NA,"role_play","MATT",0,0,0,1
"37","Vasselheim",2,18,37,"prologue","MARY","i'm off to san antonio tomorrow morning, very early, for san japan. with steve blum. so come on out and have some fun in san antonio.",351.314,360.077,8.76299999999998,28,191.715166039028,NA,"role_play","GUESTS",0,1,0,0
"38","Vasselheim",2,18,38,"prologue","MATT","heck yeah. it's a great convention, i went there last year. they're really, really good, so all you folks out there.",360.077,364.768,4.69099999999997,24,306.970795139631,NA,"role_play","MATT",0,0,0,1
"39","Vasselheim",2,18,39,"prologue","MARY","we were both there last year.",364.768,366.024,1.25600000000003,7,334.394904458591,NA,"role_play","GUESTS",0,1,0,0
"40","Vasselheim",2,18,40,"prologue","MATT","that's right, we were.",366.024,366.994,0.970000000000027,6,371.134020618546,NA,"role_play","MATT",0,0,0,1
"41","Vasselheim",2,18,41,"prologue","MARY","yes!",366.994,367.987,0.992999999999995,2,120.845921450152,NA,"role_play","GUESTS",0,1,0,0
"42","Vasselheim",2,18,42,"prologue","MATT","so go check out mary in san antonio. you guys should go. also, we've had a lot of questions through twitter, from a lot of the fans, and i like the idea of transparency, and mentioning how first off, no game or game master is infallible and rules do shift and change and there have been a couple of minor alterations to the rules. which, you know, you house rule things in a game and you test it out and balance can shift. for those who have looked at the gunslinger martial archetype that percy plays with, i have made a few adjustments to it, balancing out a few elements there. dcs for different shots and",367.987,400.548,32.561,117,215.595344123338,NA,"role_play","MATT",0,0,0,1
"43","Vasselheim",2,18,43,"prologue","TALIESIN","definitely some foam darts that i'm shooting now. that's all i'm saying. i'm saying there is a lot of pump action and then a foam dart comes out.",400.548,406.649,6.101,33,324.536961153909,NA,"role_play","TALIESIN",1,0,0,0
"44","Vasselheim",2,18,44,"prologue","TRAVIS","really?",406.649,408.533,1.88400000000001,2,63.6942675159231,NA,"role_play","TRAVIS",1,0,0,0
