"episode","actor","time_stamp","description","guest"
22,"Ashley","3:14:50","Stealth vs. Red Dragon (negated by disadvantage",0
22,"Laura","3:27:42","Attack vs. Elemental 2",0
22,"Liam","3:59:54","Attack vs. Elemental 1",0
23,"Laura","0:26:56","Sleight of Hand to Hunter’s Mark one of the Bastion",0
23,"Travis","0:56:27","Flying kick vs. Kern (negated by disadvantage",0
23,"Liam","2:49:50","Persuasion on Kynan (with Luck",0
24,"Orion","1:31:16","Farting while Vax sneaks off. Yes, really.",0
24,"Liam","1:34:36","Stealthing to the butcher’s",0
24,"Liam","2:35:33","Stealthing upon sleeping Grog (with advantage",0
24,"Laura","2:43:00","Training Trinket to Cannonball (with advantage",0
24,"Laura","3:39:37","Stealthily casting Hunter’s Mark on Lady Briarwood.",0
25,"Laura","0:59:02","Lightning Arrow vs. Lady Briarwood",0
25,"Laura","1:00:52","Second attack vs. Lady Briarwood",0
25,"Guests","2:43:08","Initiative vs. The Broker",1
25,"Taliesin","3:06:28","Overkill vs. The Broker",0
26,"Sam","3:02:30","Concentration to turn into a pterodactyl cow",0
27,"Taliesin","0:20:39","Initiative vs. Invisible Stalkers",0
27,"Trinket","0:27:09","2nd Attack vs. Invisible Stalker",0
27,"Trinket","0:37:05","Bite Attack vs. Invisible Stalker (negated by disadvantage",0
27,"Liam","1:10:01","Persuasion vs. Desmond’s trepidation (with Luck",0
27,"Sam","1:11:54","Stealth check to sleep under Percy’s workbench",0
27,"Marisha","2:34:13","Enchanting a vial of holy water with Fog",0
27,"Sam","3:12:25","Eavesdropping on Percy and Keyleth",0
27,"Laura","3:21:31","Perception vs. Behir",0
27,"Liam","3:21:31","Perception vs. Behir",0
28,"Travis","0:42:52","Breaking the grapple vs. the behir",0
28,"Marisha","1:00:32","Harvesting the behir’s lightning gland (with advantage",0
28,"Travis","1:14:14","Int check vs. Stone Giant Fortress",0
28,"Liam","1:32:57","Stealth vs. murder of crows",0
28,"Taliesin","1:49:22","Perception vs. Wolf pack hunter",0
28,"Laura","2:28:05","Stealth into Whitestone",0
28,"Liam","2:28:18","Stealth into Whitestone (with Luck",0
29,"Liam","0:29:54","Picking the door’s lock (negated by lack of lock",0
29,"Liam","0:54:12","Initiative vs. Banshee",0
29,"Taliesin","0:54:54","Wis save vs. Banshee (with advantage",0
29,"Liam","0:57:20","Dagger vs. Banshee (negated since stake, not dagger",0
29,"Taliesin","3:02:31","Headshot vs. Sir Stonefell",0
29,"Taliesin","3:21:24","Killing shot vs. Sir Stonefell",0
29,"Marisha","3:27:58","Attack of Opportunity vs. Vouk",0
29,"Travis","3:45:38","Ripping out Vouk’s tongue",0
30,"Laura","0:47:52","Blazing Bowstring vs. Vampire 3",0
31,"Taliesin","1:20:57","Third Hexed shot vs. Count’s Guard",0
31,"Trinket","1:32:11","HDYWTDT vs. Count Tylieri",0
31,"Laura","2:03:41","Intimidation vs. Fleeing Guard",0
31,"Taliesin","0:06:45","Investigation of Count Tylieri’s desk",0
31,"Liam","0:20:07","Stealth back to The Alcove (Nat20+13+10=43",0
31,"Sam","0:26:16","Stealth back to The Alcove",0
32,"Taliesin","0:27:05","Taking a shot vs. the approaching skeletons",0
32,"Ashley","0:33:07","Jumping into the skeleton horde",0
32,"Liam","2:48:50","Con save after sleeping in the tunnel",0
32,"Marisha","3:01:57","Arcana check for magical essence of the Impassable Statue",0
33,"Taliesin","1:04:34","Investigating Cassandra’s desk",0
33,"Taliesin","1:27:33","Initiative vs. Professor Anders",0
33,"Taliesin","2:00:15","Pepperbox vs. Professor Anders",0
33,"Liam","0:28:30","Thieves’ Tools to untrap the lock",0
33,"Laura","0:56:20","Stealth check into catacombs (with advantage",0
33,"Taliesin","1:02:36","Perception check for slivers of glass",0
33,"Travis","1:06:57","Survival check to find tracks in catacombs",0
33,"Taliesin","1:09:43","Initiative vs. Ghosts",0
33,"Taliesin","1:11:31","Normal bullet vs. Ghost 1",0
33,"Taliesin","1:12:40","Fire bullet vs. Ghost 1",0
33,"Travis","1:42:24","Attack of Opportunity vs. Vex’ahlia (negated by disadvantage",0
33,"Travis","1:56:03","Attack of Opportunity vs. Percy",0
34,"Liam","0:51:51","Thieves’ Tools vs. Copper Door",0
34,"Marisha","0:59:01","Intelligence check on Copper Room",0
34,"Laura","2:50:33","Skirmisher Stealth after attack",0
34,"Laura","3:13:49","Attack vs. Delilah Briarwood (negated by disadvantage",0
34,"Laura","3:14:14","Attack vs. Delilah Briarwood",0
34,"Taliesin","3:39:40","Violent shot vs. Delilah Briarwood",0
34,"Marisha","3:49:16","Attack of Opportunity vs. Delilah Briarwood",0
34,"Laura","4:18:16","Acrobatics to break her fall at 1HP (negated by disadvantage",0
34,"Liam","4:19:02","Acrobatics to land next to an unconscious Vex",0
34,"Marisha","4:33:49","Strength Save vs. Black Marble of Doom",0
35,"Taliesin","0:59:28","Wis Save vs. Orthax’s influence, with advantage",0
35,"Sam","1:13:46","Wis Save vs. Rampage Pulse",0
35,"Ashley","1:37:02","Guiding Bolt vs. Orthax, with advantage",0
35,"Trinket","1:59:09","Bite Attack vs. Pike, with advantage",0
35,"Travis","2:01:31","Attack of Opportunity vs. Orthax, with advantage",0
35,"Sam","0:06:05","Persuasion vs. Percy for the Pepperbox, with advantage",0
35,"Travis","0:43:35","Strength check to behead the Countess",0
36,"Liam","2:04:50","Con Save vs. Pie, Round 1",0
37,"Ashley","0:49:02","Medicine check on Desmond",0
37,"Travis","1:30:30","Arcana check on anti-scrying runes",0
37,"Liam","3:10:48","Checking for traps on first lock.",0
37,"Liam","3:11:20","Checking for traps on last lock (negated, since no advantage",0
37,"Laura","3:40:59","Stealth vs. Daxio",0
37,"Liam","3:54:05","Sneak Attack vs. Daxio (first roll with adv",0
37,"Ashley","4:01:30","Holy Lasso vs. Daxio (first roll with adv",0
37,"Liam","4:03:23","Second attack vs. Daxio (with adv",0
38,"Laura","2:16:04","Dex save vs. Force cage trap",0
38,"Sam","2:17:45","Dex save to escape Force cage",0
38,"Taliesin","2:18:52","Investigation check of Krieg's upper floor",0
38,"Taliesin","2:30:54","Perception check of gem in skull",0
38,"Marisha","2:46:41","Perception check vs. cave",0
39,"Liam","0:20:55","Dex save vs. Purple Worm’s bite",0
39,"Liam","0:32:35","Con save vs. Frost Worm’s cold breath",0
39,"Taliesin","0:46:55","Str check to distract worm while in mist form (negated by disadvantage",0
39,"Sam","2:18:17","Deception check vs. palace guard (with advantage",0
40,"Marisha","0:22:32","Vorugal Battle Initiative",0
40,"Taliesin","0:26:40","Bad News Targeted Wing Shot against Vorugal",0
40,"Ashley","1:08:16","Dexterity Save vs. Vorugal Wing Attack",0
40,"Travis","2:21:47","Wisdom Save",0
41,"Laura","1:13:20","Looter Battle Initiative",0
41,"Travis","1:53:35","Craven Edge GWM Reckless Attack against Looter 2",0
41,"Travis","1:54:00","Craven Edge GWM Reckless Attack against Looter 4",0
41,"Laura","2:00:02","Investigation Check",0
41,"Travis","2:50:55","Investigation Check-disregarded",0
41,"Laura","2:51:01","Perception Check",0
41,"Liam","2:56:47","Stealth Check",0
42,"Travis","1:11:02","Stealth Check with PWaT",0
42,"Travis","1:45:42","Craven Edge GWM Reckless Attack against Wyvern",0
43,"Liam","2:53:00","Initiative Roll",0
43,"Liam","3:11:45","Dagger Sneak Attack against Groon",0
43,"Sam","3:19:15","Bigby’s Hand Attack against Groon with disadvantage (disregarded due to disadvantage",0
44,"Guests","0:57:10","Investigation Check",1
44,"Liam","1:42:03","Stealth Check",0
44,"Guests","2:05:06","Perception Check",1
44,"Guests","4:14:48","Witch Bolt against Beholder",1
45,"Laura","1:43:47","Stealth Check with advantage",0
45,"Liam","2:44:57","Constitution Saving Throw",0
46,"Marisha","0:37:41","Intimidation Check",0
46,"Liam","2:31:40","Dagger Sneak Attack against Large Salamander",0
47,"Marisha","1:56:58","Stealth with PWaT and HiPS",0
47,"Sam","2:52:47","Charisma Save with advantage",0
48,"Sam","0:16:01","Intelligence Check",0
48,"Ashley","1:21:51","Insight Check",0
48,"Ashley","2:41:20","Guiding Bolt with disadvantage against B3 (disregarded due to disadvantage",0
48,"Travis","2:53:07","Craven Edge GWM Reckless Attack against Basilisk 5",0
49,"Liam","0:20:25","Stealth Check with PWaT",0
49,"Laura","1:17:12","Stealth Check",0
49,"Travis","1:27:05","Craven Edge GWM Reckless Attacks against War Chief",0
49,"Taliesin","1:35:18","Shot against Rope",0
49,"Laura","4:19:44","Strength Check",0
49,"Laura","4:24:27","Wisdom Save",0
50,"Travis","0:26:34","Constitution Save with disadvantage (disregarded",0
50,"Taliesin","1:11:02","Tinkering Check with advantage (advantage not rolled",0
51,"Liam","1:22:23","Thieves’ Tools",0
51,"Travis","1:46:40","Persuasion Check",0
51,"Taliesin","1:48:56","Stealth Check with Pass Without a Trace",0
51,"Marisha","2:27:55","Stealth Check",0
51,"Taliesin","2:28:31","Stealth Check",0
52,"Laura","0:17:45","Initiative Roll",0
52,"Taliesin","0:41:50","Pistol Sharpshooter against Kevdak (right elbow",0
52,"Ashley","0:49:02","Spiritual Weapon Attack against Kevdak",0
52,"Laura","0:57:20","Arrow Sneak Attack against Kevdak",0
52,"Travis","2:31:43","Blood Attack Reckless Attack against Kevdak",0
52,"Laura","2:37:40","Intimidation Check",0
52,"Travis","2:54:58","Blood Axe Reckless Attack against Greenbeard",0
53,"Sam","2:17:11","Strength Check",0
54,"Laura","3:14:53","Stealth Check with advantage",0
54,"Travis","3:17:30","Bloodaxe Reckless Attack against Umbrasyl",0
54,"Taliesin","3:22:30","Wingshot against Umbrasyl",0
54,"Liam","4:04:30","Constitution Save",0
55,"Liam","0:19:13","Dexterity Check",0
55,"Taliesin","0:43:26","Pistol attack with disadvantage (disregarded",0
55,"Marisha","1:51:16","Stealth Check with Pass Without a Trace",0
55,"Liam","1:51:18","Stealth Check with Pass Without a Trace",0
55,"Laura","2:04:42","Insight Check",0
55,"Taliesin","2:29:31","Initiative Roll",0
55,"Taliesin","2:31:59","Pistol with disadvantage (disregarded",0
55,"Laura","2:33:27","Arrow through blazing bowstring with disadvantage & War God’s Blessing (disregarded",0
55,"Ashley","3:12:54","Cast Guiding Bolt (3rd",0
55,"Travis","3:20:22","Bloodaxe",0
55,"Taliesin","3:30:21","Dragonslayer Longsword with advantage",0
55,"Taliesin","3:31:30","Dragonslayer Longsword with advantage",0
55,"Taliesin","3:52:45","Dexterity Save",0
55,"Taliesin","3:58:49","Pistol Called Shot",0
58,"Liam","0:28:29","Constitution Save",0
58,"Laura","1:10:15","Dexterity Check",0
59,"Laura","1:09:08","Perception Check",0
59,"Taliesin","2:13:54","Tinkering Check",0
59,"Ashley","2:20:11","Sleight of Hand Check",0
60,"Sam","1:44:33","Deception with disadvantage (disregarded",0
61,"Travis","0:19:44","Decide whether to go into the cave",0
61,"Sam","0:30:15","Intelligence Check with disadvantage (disregarded",0
61,"Laura","0:36:38","Survival Check",0
61,"Taliesin","0:59:50","Intelligence Check",0
61,"Sam","1:01:16","Wisdom Save",0
61,"Sam","1:01:24","Wisdom Save",0
61,"Taliesin","1:56:37","Stealth Check",0
61,"Liam","2:10:04","Athletics Check with Luck",0
61,"Laura","2:54:11","Initiative",0
61,"Liam","3:12:25","Dagger against Iotha",0
61,"Taliesin","3:17:58","Deadeye Sharpshooter Bad News against Pixie",0
61,"Laura","3:20:28","LBoSS against Iotha",0
61,"Marisha","3:28:23","Constitution Save",0
61,"Taliesin","3:35:34","Retort Deadeye Sharpshooter against Pixie",0
62,"Taliesin","1:20:45","Retort Head Shot with disadvantage (disregarded",0
62,"Laura","1:45:22","Constitution Save",0
62,"Taliesin","1:47:38","Dragonslayer Longsword with disadvantage (disregarded",0
62,"Travis","2:15:55","Strength Check",0
62,"Sam","2:34:55","Stealth Check",0
63,"Taliesin","0:27:31","Athletics Check with advantage",0
63,"Liam","0:31:40","Perception Check with Luck",0
63,"Travis","1:05:33","Disappointment Check",0
63,"Taliesin","1:13:52","Bad News Arm Shot against Saundor",0
63,"Laura","2:16:59","Constitution Save",0
63,"Laura","2:36:53","LBoSS against Saundor",0
63,"Laura","3:15:35","Wisdom Save",0
64,"Liam","2:23:14","Acrobatics with disadvantage (disregarded",0
64,"Taliesin","3:19:40","Perception Check",0
64,"Taliesin","3:26:04","Perception Check",0
65,"Laura","3:25:44","Insight Check",0
66,"Sam","0:37:55","Constitution Save",0
66,"Taliesin","1:35:34","Intelligence Check",0
66,"Liam","2:04:54","Stealth Check",0
66,"Sam","2:30:16","Persuasion Check",0
66,"Laura","3:54:47","Thieves’ Tools",0
67,"Laura","0:14:08","Survival Check",0
67,"Sam","1:09:59","History Check",0
67,"Laura","2:06:19","Persuasion Check",0
67,"Marisha","3:19:21","Dexterity Save with advantage",0
67,"Marisha","3:25:25","Investigation Check",0
68,"Marisha","0:19:42","Intelligence Check",0
68,"Travis","0:22:27","Initiative",0
68,"Liam","1:03:31","Perception Check",0
68,"Sam","1:03:34","Perception Check",0
68,"Marisha","1:21:22","Stealth Check",0
68,"Taliesin","1:49:52","Bad News Dead Eye Shot against Ripley",0
68,"Travis","1:51:10","Dexterity Save with advantage",0
68,"Travis","1:55:39","Initiative",0
68,"Taliesin","1:56:23","Initiative",0
68,"Taliesin","1:57:31","Concentration Check",0
68,"Taliesin","3:09:20","Dragonslayer Longsword against a stunned Kynan",0
68,"Liam","3:21:20","Athletics Check",0
69,"Laura","1:12:57","Persuasion Check",0
69,"Laura","2:05:31","Insight Check",0
70,"Taliesin","1:21:33","Investigation Check",0
70,"Laura","3:24:40","Perception Check",0
71,"Liam","0:58:42","Stealth Check",0
71,"Laura","1:05:09","Perception Check",0
