"episode","actor","time_stamp","description","guest"
107,"Liam","1:24:21","Athletics Check",0
107,"Marisha","1:34:26","Investigation Check",0
107,"Laura","2:29:12","Fenthras Sneak Attack against Momma",0
107,"Laura","2:47:16","Fenthras Sharpshooter Attack Bramble Shot against Momma",0
107,"Travis","3:18:49","Investigation Check",0
107,"Liam","3:21:13","Stealth Check with Luck",0
108,"Taliesin","0:25:33","Animus Torso Shot",0
108,"Laura","0:42:57","Fenthras against Smelter Guardian with disadvantage (disregarded",0
108,"Liam","1:23:02","Stealth Check",0
108,"Taliesin","2:35:42","Athletics Check with advantage",0
108,"Travis","3:19:49","Bloodaxe Reckless against Forge Guardian",0
108,"Taliesin","3:24:58","Animus Dead Eye against Forge Guardian",0
108,"Liam","3:26:42","Death Save",0
109,"Taliesin","2:57:41","Intelligence Check",0
109,"Laura","2:59:58","Perception Check",0
109,"Travis","3:24:52","Strength Save",0
109,"Taliesin","3:24:58","Strength Save",0
110,"Travis","0:32:52","Dexterity Save with advantage",0
110,"Laura","0:55:35","Dexterity Save",0
110,"Travis","1:01:21","Bloodaxe Reckless GWM Retaliation against Elemental 3",0
110,"Taliesin","1:51:07","Perception Check",0
110,"Liam","2:01:23","Thieves’ Tools",0
110,"Liam","2:17:18","Perception Check",0
110,"Travis","2:54:02","Adamantine Reckless GWM against Troll 1",0
110,"Travis","3:09:46","Adamantine Reckless GWM against Troll 2",0
110,"Sam","3:18:18","Constitution Save",0
111,"Laura","0:36:33","Investigation Check",0
111,"Marisha","0:39:07","Nature Check",0
111,"Taliesin","0:46:06","Investigation Check",0
111,"Travis","0:50:11","Perception Check",0
111,"Ashley","1:36:17","Stealth Check with PWaT",0
111,"Liam","1:42:30","Whisper against Zombie Dwarf 4 with advantage",0
111,"Travis","1:45:09","Initiative against Zombie Dwarves",0
111,"Taliesin","1:46:52","Sword against Zombie Dwarf 7",0
111,"Laura","2:57:02","Stealth Check",0
112,"Liam","0:47:08","Stealth Check with PWaT",0
112,"Liam","1:16:05","Dagger of Venom against Shadow Ghast Right",0
113,"Liam","0:52:18","Stealth Check",0
113,"Taliesin","0:53:31","Dexterity Save with Indomitable",0
113,"Sam","0:58:33","Initiative against Gloomstalker",0
113,"Guests","2:09:23","Wisdom Save against Charm",1
113,"Liam","2:17:59","Whisper against Delilah",0
113,"Travis","2:21:00","Wisdom Save with advantage against Greataxe of the Eclipse",0
113,"Travis","2:28:57","Sword of Kas against Delilah with advantage",0
113,"Taliesin","3:45:01","Stealth Check with Pass Without a Trace",0
113,"Liam","4:15:59","Intelligence Check",0
113,"Laura","4:17:14","Dexterity Check",0
113,"Taliesin","4:25:59","Perception Check",0
114,"Taliesin","0:16:42","Perception Check",0
114,"Sam","0:25:57","Dexterity Save with advantage",0
114,"Taliesin","1:52:57","Animus against Vecna",0
114,"Ashley","1:58:36","Guiding Bolt (6th",0
114,"Liam","3:26:14","Whisper SA against Vecna with advantage",0
114,"Taliesin","3:35:22","Wisdom Save with advantage",0
114,"Travis","3:37:46","SoK Reckless against Vecna",0
114,"Liam","3:56:15","Constitution Save with Luck",0
114,"Travis","4:03:40","SoK Reckless against Vecna",0
114,"Guests","4:17:56","Fane-Eater against Vecna with Divine Smite (1st",1
114,"Taliesin","4:25:58","Animus Deadeye Sharpshooter against Vecna",0
114,"Liam","4:41:21","Flametongue Dagger against Fox!Scanlan",0
114,"Sam","5:12:50","Counterspell (3rd",0
115,"Sam","0:50:41","Pistol",0
115,"Ashley","3:28:00","Perception Check",0
115,"Travis","4:08:25","Persuasion Check",0
