"file_name","Time","Character","Type.of.Roll","Total.Value","Natural.Value","Crit.","Damage","X..Kills","Notes","roll"
"1","2:50:26","Vex'ahlia","Attack","24","13",NA,NA,NA,"Arrow through Blazing Bowstring",1
"1","2:50:34","Vex'ahlia","Damage","14",NA,NA,"14 (7+7 Fire) to Naga",NA,NA,1
"1","2:51:12","Grog","Attack","17","9",NA,NA,NA,"Thrown Axe",1
"1","2:51:24","Grog","Damage","15",NA,NA,"15 to Naga",NA,NA,1
"1","2:51:34","Vex'ahlia","Damage","6",NA,NA,"6",NA,"Hunter's Mark",1
"1","2:51:45","Grog","Athletics","12","5",NA,NA,NA,NA,1
"1","2:54:25","Keyleth","Constitution Save","Nat1","1",NA,"31 Poison to Keyleth",NA,NA,1
"1","2:55:11","Tiberius","Constitution Save","16","9",NA,"14 Poison to Tiberius",NA,NA,1
"1","2:56:10","Vax'ildan","Attack","30","19","Y",NA,NA,"Dagger with Sneak Attack",1
"1","2:56:30","Vax'ildan","Attack","26","16",NA,NA,NA,"Dagger",1
"1","2:56:45","Vax'ildan","Damage","44",NA,NA,"44 to Naga",NA,NA,1
"1","2:57:00","Vax'ildan","Damage","6",NA,NA,"6 to Naga",NA,NA,1
"1","2:58:11","Keyleth","Damage","8",NA,NA,"4 to Naga",NA,"Thunderwave",1
"1","3:00:07","Scanlan","Damage","24",NA,NA,"24 Lightning to Naga","1","Lightning Bolt, FIRST HDYWTDT",1
"2","0:16:32","Keyleth","Constitution Save","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"2","0:16:32","Keyleth","Constitution Save","13","10",NA,NA,NA,"With advantage",1
"2","0:22:27","Percy","Persuasion","14","12",NA,NA,NA,NA,1
"2","0:24:00","Vax'ildan","Sleight of Hand","11","2",NA,NA,NA,NA,1
"2","0:24:25","Vax'ildan","Inspiration","8",NA,NA,NA,NA,NA,1
"2","0:26:30",NA,NA,NA,NA,NA,NA,NA,"Several rolls for healing from rest, no values given",1
"2","0:26:50","Vex'ahlia","Investigation","25","23",NA,NA,NA,"Bad math or actually proficent?",1
"2","0:42:07","Vex'ahlia","Perception","Nat1","1",NA,NA,NA,NA,1
"2","0:42:10","Percy","Perception","10","3",NA,NA,NA,"Assists Vex",1
"2","0:42:10","Vax'ildan","Perception","10","3",NA,NA,NA,"This one was mouthed.",1
"2","0:44:00","Vax'ildan","Dexterity Save","12","3",NA,NA,NA,NA,1
"2","0:45:38","Tiberius","Arcana","13","7",NA,NA,NA,NA,1
"2","0:51:38","Tiberius","Persuasion","11","2",NA,NA,NA,NA,1
"2","0:53:45","Keyleth","Persuasion","8","8",NA,NA,NA,NA,1
"2","0:53:45","Keyleth","Persuasion","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"2","0:55:38","Vax'ildan","Persuasion","Nat20","20",NA,NA,NA,"Disregarded due to disadvantage",1
"2","0:55:38","Vax'ildan","Persuasion","19","17",NA,NA,NA,NA,1
"2","1:02:54","Vex'ahlia","Persuasion","15","8",NA,NA,NA,NA,1
"2","1:11:00","Percy","Tinkering","10","Unknown",NA,NA,NA,"Trapping Arrow,
Includes inspiration die, amount not given",1
"2","1:15:30","Percy","Arcana","15","12",NA,NA,NA,NA,1
"2","1:15:52","Vex'ahlia","Investigation","Nat1","1",NA,NA,NA,NA,1
"2","1:15:52","Keyleth","Investigation","5","3",NA,NA,NA,"Assists Vex",1
"2","1:22:25","Vex'ahlia","Investigation","17","15",NA,NA,NA,NA,1
"2","1:26:25","Vax'ildan","Stealth","29","16",NA,NA,NA,NA,1
"2","1:43:54","Vex'ahlia","Stealth","17","8",NA,NA,NA,NA,1
"2","1:43:54","Vax'ildan","Stealth","18","5",NA,NA,NA,NA,1
"2","1:44:44","Vax'ildan","Perception","18","8",NA,NA,NA,NA,1
"2","1:46:39","Keyleth","Perception","12","2",NA,NA,NA,NA,1
"2","1:50:45","Scanlan","Cutting Words","3",NA,NA,NA,NA,NA,1
"2","1:51:40","Grog","Initiative","14","12",NA,NA,NA,NA,1
"2","1:51:40","Keyleth","Initiative","17","15",NA,NA,NA,NA,1
"2","1:51:40","Percy","Initiative","17","10",NA,NA,NA,NA,1
"2","1:51:40","Scanlan","Initiative","19","19",NA,NA,NA,NA,1
"2","1:51:40","Tiberius","Initiative","13","10",NA,NA,NA,NA,1
"2","1:51:40","Vax'ildan","Initiative","15","10",NA,NA,NA,NA,1
"2","1:51:40","Vex'ahlia","Initiative","24","19",NA,NA,NA,NA,1
"2","1:52:54","Vex'ahlia","Charisma Save","13","8",NA,NA,NA,NA,1
"2","1:55:09","Scanlan","Healing","9",NA,NA,NA,NA,"Healing Word, Percy heals 5 points",1
"2","1:55:57","Percy","Attack","30","19",NA,NA,NA,"Disregarded due to disadvantage",1
"2","1:55:57","Percy","Attack","25","19",NA,NA,NA,"Pepperbox Ice Shot",1
"2","1:56:28","Percy","Damage","14",NA,NA,"14",NA,NA,1
"2","1:56:48","Percy","Attack","Unknown","Unknown",NA,NA,NA,"Pepperbox Misfire",1
"2","1:59:30","Keyleth","Charisma Save","16","16",NA,NA,NA,NA,1
"2","1:59:45","Keyleth","Attack","14","9",NA,NA,NA,"Claw Attack",1
"2","1:59:55","Keyleth","Attack","19","14",NA,NA,NA,"Claw Attack",1
"2","2:00:09","Keyleth","Attack","18","13",NA,NA,NA,"Claw Attack",1
"2","2:00:20","Keyleth","Damage","20",NA,NA,"25",NA,NA,1
"2","2:03:14","Vax'ildan","Attack","20","9",NA,NA,NA,"Dagger with Sneak Attack",1
"2","2:03:14","Vax'ildan","Attack","18","8",NA,NA,NA,"Flame-Tongue Dagger",1
"2","2:03:19","Vax'ildan","Damage","36",NA,NA,"36",NA,NA,1
"2","2:04:00","Vax'ildan","Damage","3",NA,NA,"3",NA,NA,1
"2","2:05:38","Grog","Charisma Save","11","10",NA,NA,NA,NA,1
"2","2:05:44","Grog","Charisma Save","5","4",NA,NA,NA,"Disregarded due to advantage",1
"2","2:06:22","Grog","Attack","Nat1","1",NA,NA,NA,"Great Axe",1
"2","2:07:34","Tiberius","Arcana","17","11",NA,NA,NA,NA,1
"2","2:09:20","Vex'ahlia","Attack","23","12",NA,NA,NA,"Disregarded due to disadvantage",1
"2","2:09:20","Vex'ahlia","Attack","23","12",NA,NA,NA,"Arrow through Blood-Seeking Bow and HM",1
"2","2:09:40","Vex'ahlia","Attack","Unknown","Unknown",NA,NA,NA,"Arrow",1
"2","2:09:40","Vex'ahlia","Attack","26","15",NA,NA,NA,NA,1
"2","2:10:10","Vex'ahlia","Damage","29",NA,NA,"29",NA,NA,1
"2","2:11:50","Scanlan","Attack","19","10",NA,NA,NA,"Roll for Polymorph",1
"2","2:13:30","Percy","Attack","14","3",NA,NA,NA,"Pepperbox Fire Shot",1
"2","2:13:30","Percy","Attack","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"2","2:13:50","Percy","Inspiration","3",NA,NA,NA,NA,NA,1
"2","2:14:00","Percy","Damage","17",NA,NA,"17",NA,NA,1
"2","2:16:12","Keyleth","Attack","Nat20","20",NA,NA,NA,"Grapple – no crit effect",1
"2","2:17:01","Keyleth","Athletics","20","14",NA,NA,NA,NA,1
"2","2:19:25","Vax'ildan","Dexterity","21","12",NA,NA,NA,NA,1
"2","2:20:22","Vax'ildan","Acrobatics","29","16",NA,NA,NA,NA,1
"2","2:20:39","Vax'ildan","Attack","15","4",NA,NA,NA,"Dagger",1
"2","2:21:20","Grog","Attack","26","18",NA,NA,NA,"Great Axe",1
"2","2:21:20","Grog","Attack","26","18",NA,NA,NA,"Great Axe",1
"2","2:21:20","Grog","Attack","25","17",NA,NA,NA,"Great Axe",1
"2","2:22:05","Grog","Damage","8",NA,NA,"8",NA,NA,1
"2","2:22:05","Grog","Damage","16",NA,NA,"6",NA,NA,1
"2","2:22:05","Grog","Damage","10",NA,NA,"10","1",NA,1
"2","2:23:49","Tiberius","Attack","10","1",NA,NA,NA,"Firebolt",1
"2","2:23:49","Tiberius","Attack","11","2",NA,NA,NA,"Disregarded due to disadvantage",1
"2","2:24:33","Vex'ahlia","Attack","20","9",NA,NA,NA,"Disregarded due to disadvantage",1
"2","2:24:33","Vex'ahlia","Attack","20","9",NA,NA,NA,"Arrow",1
"2","2:24:38","Vex'ahlia","Attack","19","8",NA,NA,NA,"Arrow",1
"2","2:24:38","Vex'ahlia","Attack","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"2","2:25:03","Vex'ahlia","Damage","24",NA,NA,"24",NA,NA,1
"2","2:26:05","Scanlan","Damage","28",NA,NA,"14",NA,"Lightning Bolt",1
"2","2:27:05","Percy","Attack","24","13",NA,NA,NA,"Pepperbox",1
"2","2:27:05","Percy","Attack","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"2","2:27:15","Percy","Damage","6",NA,NA,"6",NA,NA,1
"2","2:27:22","Percy","Attack","Unknown","19",NA,"11",NA,"Pepperbox",1
"2","2:27:22","Percy","Attack","Nat20","20","Y",NA,NA,"Disregarded due to disadvantage",1
"2","2:29:15","Keyleth","Damage","11",NA,NA,"6",NA,"Call Lightning",1
"2","2:31:02","Vax'ildan","Attack","Unknown","Unknown",NA,NA,NA,"Dagger",1
"2","2:31:04","Vax'ildan","Attack","27","17",NA,NA,NA,"Flame-Tongue Dagger with Sneak Attack",1
"2","2:31:30","Vax'ildan","Damage","24",NA,NA,"24","1","HDYWTDT",1
"2","2:33:18","Keyleth","Healing","20",NA,NA,NA,NA,"Healing Scanlan",1
"2","2:35:35","Vax'ildan","Stealth","29","16",NA,NA,NA,NA,1
"2","2:39:08","Vex'ahlia","Stealth","Nat20","20",NA,NA,NA,"Disregarded due to disadvantage",1
"2","2:39:08","Vex'ahlia","Stealth","22","13",NA,NA,NA,NA,1
"2","2:41:12","Scanlan","Healing","Unknown",NA,NA,NA,NA,"Potion on self, rolls not announced",1
"2","2:44:37","Grog","Intelligence Save","6","8",NA,NA,NA,"Grog unconscious due to failing INT save",1
"2","2:46:25","Tiberius","Damage","29",NA,NA,"15 (29/2) Ice","1","Glacial Blast",1
"2","2:47:52","Vex'ahlia","Attack","27","16",NA,NA,NA,"Arrow",1
"2","2:48:13","Vex'ahlia","Damage","11",NA,NA,"11",NA,NA,1
"2","2:48:18","Vex'ahlia","Attack","23","12",NA,NA,NA,"Arrow",1
"2","2:48:25","Vex'ahlia","Damage","24",NA,NA,"24","1",NA,1
"2","2:51:52","Percy","Attack","Unknown","19","Y",NA,NA,"Pepperbox with Sharp Shooter, 
Assumed Nat19 due to “I crit” not “TWENTY”",1
"2","2:52:14","Percy","Damage","Unknown",NA,NA,"25","?","Incapacitated (non-lethal damage done over max HP) – 
unknown due to crit-inclusive value announced by Taliesin)",1
"2","2:53:18","Keyleth","Damage","22",NA,NA,"22",NA,"Call Lightning",1
"2","2:54:36","Vax'ildan","Constitution","14","14",NA,NA,NA,NA,1
"2","2:54:36","Vax'ildan","Constitution","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"2","2:54:52","Vax'ildan","Inspiration","1",NA,NA,NA,NA,NA,1
"2","2:56:23","Tiberius","Attack","14","5",NA,NA,NA,"Firebolt",1
"2","2:56:48","Vex'ahlia","Attack","23","12",NA,NA,NA,"Arrow",1
"2","2:56:54","Vex'ahlia","Damage","8",NA,NA,NA,"1",NA,1
"2","2:57:21","Vex'ahlia","Intimidation","8","5",NA,NA,NA,NA,1
"3","0:05:54","Percy","Medicine","19","16",NA,NA,NA,NA,1
"3","0:11:33","Percy","Intimidation","21","19",NA,NA,NA,NA,1
"3","0:12:32","Percy","History","14","7",NA,NA,NA,NA,1
"3","0:14:49","Vex'ahlia","Intimidation","14","11",NA,NA,NA,"Disregarded due to advantage 
(given due to Vax assist)",1
"3","0:14:59","Vax'ildan","Assist","19","19",NA,NA,NA,NA,1
"3","0:15:04","Vex'ahlia","Intimidation","14","11",NA,NA,NA,"With advantage",1
"3","0:15:21","Scanlan","Insight","Unknown","Unknown",NA,NA,NA,NA,1
"3","0:15:33","Vex'ahlia","Insight","24","18",NA,NA,NA,NA,1
"3","0:18:59","Scanlan","Arcana","Unknown","Unknown",NA,NA,NA,NA,1
"3","0:19:02","Tiberius","Arcana","24","18",NA,NA,NA,NA,1
"3","0:21:36","Keyleth","Religion","8","6",NA,NA,NA,NA,1
"3","0:23:30","Vax'ildan","Religion","10","8",NA,NA,NA,NA,1
"3","0:23:30","Vex'ahlia","Religion","Unknown","Unknown",NA,NA,NA,NA,1
"3","0:24:16","Tiberius","Religion","20","18",NA,NA,NA,NA,1
"3","0:30:14","Keyleth","Wisdom","Nat2","2",NA,NA,NA,"Disregarded due to advantage",1
"3","0:30:26","Keyleth","Wisdom","29","17",NA,NA,NA,"With advantage",1
"3","0:30:33","Keyleth","Inspiration","6",NA,NA,NA,NA,NA,1
