"arc","arc_no","bing_sentiment_mean","afinn_sentiment_mean","bing_sentiment_sd","afinn_sentiment_sd"
"Attack_Conclave",4,43.15,72.1,149.262846577509,340.160318240184
"Briarwoods",3,68.8125,140.1875,164.751213956074,401.180461264005
"Daring_Deeds",7,205.8125,414.0625,173.105062028815,450.961412798627
"Fall_Conclave",6,56.3529411764706,84.2352941176471,189.276563913916,424.290662372472
"Kraghammer",1,118,227.142857142857,174.469566485475,466.685849945852
"Vasselheim",2,102.625,301.75,202.967933779839,513.206377312564
"Vestiges",5,93.7857142857143,182.428571428571,183.22461145206,460.886222282799
