"arc","mean_sentiment","sd_sentiment"
"Attack_Conclave",0.0428370546829201,0.272432597732093
"Briarwoods",0.0420545030705432,0.264836435384048
"Daring_Deeds",0.0540791319190493,0.274388806091119
"Fall_Conclave",0.0385860677767193,0.266886935125665
"Kraghammer",0.0421919439957128,0.267887913070931
"Vasselheim",0.0506475379323619,0.27713302778989
"Vestiges",0.0440139207695381,0.270236266102717
