"CR_GUEST","Coleman.Liau.grade"
"Ashley",2.34882327927438
"Guests",3.48294507845116
"Laura",3.30311622452785
"Liam",3.65706284770063
"Marisha",3.61201823825297
"Matt",6.06994778716771
"Orion",3.23086603380308
"Sam",3.31820986959633
"Taliesin",4.14579552191165
"Travis",3.09725491590042
