"actor_guest","mean_words_per_minute"
"Ashley",175.162832735818
"Guests",179.91294566502
"Laura",195.10258972014
"Liam",194.738629834707
"Marisha",184.16720623553
"Matt",192.521334286402
"Orion",200.144759892392
"Sam",181.727068513927
"Taliesin",198.311440752463
"Travis",184.805541495307
