"episode","sum_sentiment","mean_sentiment","sd_sentiment","pc_1","pc_20","dm_1","dm_20","face_palms","mean_natural_rolls","Ashley","Guests","number_rolls","time_in_hour","combat_time"
50,188.586024643166,0.061408669698198,0.269087744490584,1,2,1,0,1,14.4761904761905,1,0,50,8.65861111111111,0
51,-5.58757431623614,-0.00441008233325662,0.271224805650618,2,5,1,4,0,13.5657894736842,1,0,91,1.06161361111111,0.905468055555556
52,78.4802110716079,0.0229407223243519,0.272884598249942,3,7,6,9,0,15.0740740740741,1,0,66,2.86079,2.52137638888889
53,212.930385034313,0.057642226592938,0.255016864129114,2,1,0,0,4,13.7380952380952,1,0,50,3.36394305555556,0
54,216.381855035423,0.0470599945705573,0.275993321882866,0,4,1,2,1,14.2553191489362,1,0,71,4.2123125,1.68891027777778
55,126.36824161302,0.0267106830718707,0.274443487143338,8,14,2,2,0,13.7722772277228,1,1,138,4.19238833333333,2.588285
56,222.118797194749,0.0581006532029162,0.253777514457001,1,0,0,0,4,13.875,1,1,24,3.79991472222223,0
57,262.451544897616,0.0676421507468083,0.263995755952549,3,0,0,0,1,12.4615384615385,1,0,14,3.30530194444444,0
58,141.23952528046,0.031604279543625,0.26473070531091,2,2,1,1,1,13.9024390243902,1,0,62,3.30393888888889,1.33050083333333
59,198.844710366437,0.0632860313069501,0.277213850146822,1,3,0,0,4,14.4102564102564,1,0,56,3.072965,0
60,159.97580489943,0.070349958179169,0.273239572635708,4,1,0,0,5,11.3,0,0,26,2.22801277777778,0
61,134.169966119718,0.0341225753102029,0.266051889645218,10,14,0,1,3,13.2558139534884,0,0,123,4.00455111111111,0.835429166666667
62,70.5492908885047,0.0272285954799323,0.260430007390078,5,5,0,1,0,12.8387096774194,1,0,87,2.61119305555556,0.925495277777778
63,178.392086316715,0.034733661666027,0.288373034420164,2,7,2,2,0,14.8181818181818,0,0,120,3.96760833333333,1.51709666666667
64,151.92810273093,0.0385506477368511,0.258079693042906,1,3,0,0,1,14.25,0,0,56,3.70664138888889,0
65,293.563637959757,0.0695154245701531,0.256953205022454,5,1,0,0,3,12.8947368421053,0,0,49,4.14118138888889,0
66,221.443507743387,0.0509182588510893,0.269325263351448,9,5,2,1,0,11.8133333333333,0,0,99,4.03536472222222,0.883912777777778
67,183.343102050128,0.0517772104067009,0.265357856895216,2,5,1,0,1,14,0,0,49,3.47260222222222,0
68,28.3252587758121,0.00548195447567487,0.272128842389951,8,12,3,2,1,13.6229508196721,0,0,167,4.32422638888889,3.33251083333333
69,120.031447167957,0.0457960500450044,0.273435708136365,3,2,0,0,2,12.8333333333333,1,0,36,2.6666875,0
70,187.753243927931,0.0517939983249466,0.273439113154301,1,2,0,1,1,14.9285714285714,0,0,26,3.64002305555556,0
71,110.894273938511,0.0224028836239416,0.255610580691878,5,6,2,4,1,13.5616438356164,1,0,117,9.23801972222222,1.87382361111111
72,128.005687967181,0.0568156626574259,0.265414381598796,5,2,0,0,1,11.1714285714286,0,0,41,2.42675361111111,0.120927222222223
73,191.760577834343,0.0572248814784671,0.265133263356995,0,1,0,0,0,16.2,0,0,5,3.04961027777778,0
74,184.494687892687,0.0506297167652819,0.252641217030614,0,0,0,0,1,13.4347826086957,1,0,39,3.47578277777778,0
75,156.386627284563,0.0459285249000185,0.266268702297563,3,2,0,0,2,12.625,1,0,42,3.59553777777778,0
76,95.4739069944202,0.0239643340849448,0.278900757248284,9,4,0,4,1,12.1612903225806,1,0,78,3.60503611111111,2.61855666666667
77,74.9669115158572,0.0154826335224819,0.262446877250821,4,6,2,2,2,13.0606060606061,1,0,99,4.15445305555555,2.36485833333333
78,230.820786463139,0.0542724633113424,0.268355147393609,4,7,0,0,3,13.3333333333333,0,1,49,4.17019388888889,0
79,101.321786667656,0.0216963140615965,0.28154565351408,3,8,4,10,1,13.875,0,0,119,8.45223583333333,3.69485027777778
80,77.0757838614886,0.0183513771098782,0.261725839651513,3,3,3,3,0,13.3409090909091,0,0,63,3.12802638888888,2.80937944444444
81,162.763520151658,0.0459524336961201,0.247589833163984,3,1,0,0,1,12.1739130434783,0,1,35,3.82153444444445,0
82,182.721883581905,0.0392443908036738,0.249929805987579,7,12,1,1,0,13.6018518518519,0,1,133,4.35195388888889,0.446800555555556
83,135.519321787643,0.0260014047942522,0.27932308856211,6,7,1,4,0,13.5657894736842,0,1,116,3.98719666666667,2.22028777777778
84,225.994747248626,0.0728310497095152,0.278805786416627,1,1,0,1,3,14.0555555555556,1,1,27,2.78597944444444,0
85,144.980479255022,0.0372030996292077,0.281284497332479,1,4,1,3,5,14.25,0,0,49,5.99051333333333,4.04774583333333
86,337.586556250166,0.0820181137634029,0.283699736724185,1,2,0,1,10,13.304347826087,0,0,32,3.16377277777778,0.552439999999999
87,197.154317453043,0.045270796200469,0.274257303841582,5,3,3,3,2,13.0727272727273,0,0,86,3.1718875,1.08974027777778
88,313.315188398554,0.0392970260126118,0.284977718595105,9,7,2,1,5,13.2689075630252,0,0,153,4.90457638888889,2.86578722222222
89,267.819266606845,0.0739015636332353,0.264395402683246,0,2,0,0,16,15.1875,1,0,22,3.0842425,0
90,304.697219183076,0.080289122314381,0.277093795180712,1,4,0,0,8,13.96,0,0,33,3.07439555555555,0
91,196.366436562752,0.0455078647885867,0.27016165626028,0,1,0,0,0,10.9166666666667,0,0,19,3.84968472222222,0
92,166.822399674623,0.0424268564787954,0.28003344434457,5,5,0,1,1,13.3376623376623,0,1,92,6.91835138888889,0.581266666666665
93,69.3398701013822,0.0134119671375981,0.273598221052953,4,4,2,4,4,13.8217821782178,0,1,144,3.99323,2.84816305555556
94,283.199364118242,0.0645983950999639,0.286808341350091,1,2,2,1,8,11.34375,1,0,46,3.93361194444444,0.506958333333332
95,330.680534580038,0.0734193016385519,0.262231972132558,4,2,0,0,7,11.84,1,0,36,3.68821027777778,0
96,304.267032829566,0.0637609037781992,0.27220711243538,3,2,2,1,3,13.2682926829268,1,0,62,4.44127333333334,0.719365833333334
97,206.021310068817,0.0503104542292595,0.26022714143234,0,4,0,0,7,15.448275862069,1,0,40,3.66920361111111,0.149995833333334
98,262.86274519415,0.0600691830882427,0.256456476186458,1,11,0,0,3,15.2203389830508,1,0,86,4.17879833333333,1.07117944444444
99,220.055351201809,0.0566131595579648,0.262492256768905,2,3,0,0,6,13.9655172413793,1,1,40,3.73092944444444,0.278877222222222
100,243.054593605693,0.0387523267866219,0.265047078962337,5,14,0,5,1,13.8818181818182,1,1,152,5.33591111111111,1.68481555555556
101,183.266205330794,0.0565985810163045,0.264082277150055,0,1,0,0,1,13.5428571428571,1,0,52,3.10380555555556,0
102,56.262177661485,0.0123004323702416,0.256573268920508,5,6,0,1,0,14.2352941176471,1,0,98,4.17461305555556,1.81322888888889
103,111.070494917193,0.0368148806487217,0.246802691933332,1,2,0,2,6,12.695652173913,1,0,37,3.17080388888889,0
104,162.99654265824,0.0722182289137084,0.258831865066465,2,2,0,0,0,12.3076923076923,1,0,21,2.75164972222222,0
105,165.974804449887,0.0408402570004643,0.273483960518096,2,6,0,1,1,14.4705882352941,0,1,62,3.75412111111111,1.26891916666667
106,180.594735641017,0.055981009188164,0.254674591379233,0,3,0,0,2,14.5862068965517,0,1,42,3.40768333333333,0
107,169.043106018881,0.0467098938985578,0.268617363066768,2,7,0,0,0,13.46,0,0,69,3.532675,0.556598055555556
108,132.073455230426,0.0298673575826381,0.267224125692702,6,7,0,5,1,13.9509803921569,0,0,142,4.03556666666667,2.12654555555555
109,81.6341958380567,0.0326798221929771,0.258309039880411,3,4,0,0,20,13.46875,0,0,43,2.98626666666666,0
110,54.3762828723471,0.0139069777167128,0.254896284810907,3,9,0,2,4,13.3557692307692,0,0,143,3.400145,1.5895
111,51.1534876973023,0.0118630537331406,0.244995743914082,10,9,0,2,2,12.9569892473118,0,0,115,4.079545,1.14607444444444
112,43.1344814964302,0.010695383460558,0.262230429680586,4,2,0,0,2,13.1111111111111,1,0,72,4.09720388888889,0
113,168.563034780888,0.0306144269489445,0.262829993281212,6,11,0,2,1,14.2909090909091,1,1,164,4.58597944444444,1.62960194444445
114,114.857952068165,0.018627627646475,0.2752698879312,3,13,0,4,0,14.7623762376238,1,1,133,5.38248138888889,4.77426694444444
115,239.214576579277,0.0634689776012941,0.27514541035188,1,3,0,0,6,13,1,1,31,4.28735583333333,0
