"actor_guest","sum_sentiment","mean_sentiment","sd_sentiment"
"Ashley",502.623534643218,0.0488838294731782,0.262428681953472
"Brian",9.44854270615234,0.0656148799038357,0.253202039022806
"Guests",660.906225506548,0.063960730233867,0.27258681913692
"Laura",2442.99840130967,0.0431388886177124,0.276313225362983
"Liam",1222.13821943581,0.0329106831677881,0.267725602897855
"Marisha",1758.97026090022,0.0393391242122028,0.266272600270304
"Matt",8136.7949384442,0.0476918091250569,0.264308615905549
"Offscreen",-0.310366331698329,-0.00940504035449483,0.249627179851463
"Orion",532.764311170988,0.0698066445454648,0.278367526071764
"Sam",2069.41516902554,0.0476406641425835,0.269245338538853
"Taliesin",1543.75011403952,0.0401725334141647,0.27937771498157
"Travis",1170.80983881776,0.0312540999657712,0.283012950367173
"Zac",108.485654854176,0.101199304901284,0.257592265732127
