"episode","sum_sentiment","mean_sentiment","sd_sentiment","pc_1","pc_20","dm_1","dm_20","face_palms","mean_natural_rolls","Ashley","Guests","number_rolls","time_in_hour","combat_time"
50,188.049187793638,0.0612737659803316,0.269120681430937,1,2,1,0,1,14.4761904761905,1,0,50,8.65732527777778,0
51,-4.36799552185843,-0.00346391397451104,0.271152942002781,2,5,1,4,0,13.5657894736842,1,0,91,1.06027416666667,0.904128611111112
52,78.4802110716079,0.0229407223243519,0.272884598249942,3,7,6,9,0,15.0740740740741,1,0,66,2.86079,2.52137638888889
53,212.772271151305,0.0576150206204453,0.255046036658531,2,1,0,0,4,13.7380952380952,1,0,50,3.36241666666667,0
54,216.487593213711,0.0470932332420515,0.275983105898521,0,4,1,2,1,14.2553191489362,1,0,71,4.21160027777778,1.68819805555555
55,126.597947425469,0.0267535814508599,0.2744134066605,8,14,2,2,0,13.7722772277228,1,1,138,4.19238833333333,2.588285
56,221.80445132145,0.0580791964706599,0.25389119527199,1,0,0,0,4,13.875,1,1,24,3.79705472222223,0
57,243.307842065791,0.064726747024685,0.261930615913732,3,0,0,0,1,12.4615384615385,1,0,14,3.24019361111111,0
58,127.419318046939,0.0302586839342054,0.263039369992625,2,2,1,1,1,13.9024390243902,1,0,62,3.15639722222222,1.25943388888889
59,199.101248611511,0.0635294347835071,0.277467182041073,1,3,0,0,4,14.4102564102564,1,0,56,3.06806361111111,0
60,159.642471566097,0.0702342593779573,0.273243977544518,4,1,0,0,5,11.3,0,0,26,2.22687805555556,0
61,135.820689161217,0.0346569760554266,0.266034994920038,10,14,0,1,3,13.2558139534884,0,0,123,3.99464777777778,0.827078333333334
62,69.5008418914438,0.026875808929406,0.26048815109046,5,5,0,1,0,12.8387096774194,1,0,87,2.60711472222222,0.925495277777778
63,178.392086316715,0.034733661666027,0.288373034420164,2,7,2,2,0,14.8181818181818,0,0,120,3.96760833333333,1.51709666666667
64,151.333818012426,0.0384681794642669,0.258246015650652,1,3,0,0,1,14.25,0,0,56,3.70332111111111,0
65,293.647827425048,0.0696838698208467,0.256767851936547,5,1,0,0,3,12.8947368421053,0,0,49,4.13604166666667,0
66,220.824831689821,0.0508227460736068,0.269330747438695,9,5,2,1,0,11.8133333333333,0,0,99,4.03308333333333,0.883912777777778
67,183.707198490375,0.0519387046905217,0.265364349971873,2,5,1,0,1,14,0,0,49,3.46957722222222,0
68,28.0890027388673,0.00545205798502859,0.272282273474086,8,12,3,2,1,13.6229508196721,0,0,167,4.31628694444444,3.32457138888889
69,120.23873388574,0.0459803953673957,0.272683425816421,3,2,0,0,2,12.8333333333333,1,0,36,2.66043027777778,0
70,187.766747552969,0.0518406260499638,0.273317351637228,1,2,0,1,1,14.9285714285714,0,0,26,3.63887333333333,0
71,109.49116067258,0.0221462703625768,0.255586811270773,5,6,2,4,1,13.5616438356164,1,0,117,9.23564916666666,1.87336722222222
72,128.563898657054,0.0570634259463179,0.264662096591979,5,2,0,0,1,11.1714285714286,0,0,41,2.42675361111111,0.120927222222223
73,190.72203952488,0.0569659616263081,0.265064610824295,0,1,0,0,0,16.2,0,0,5,3.04521583333333,0
74,184.832308995058,0.0508199914751327,0.252229360395877,0,0,0,0,1,13.4347826086957,1,0,39,3.47055777777778,0
75,155.763768473742,0.0457724855932244,0.266313281141923,3,2,0,0,2,12.625,1,0,42,3.59358833333333,0
76,94.072306912793,0.0236362580182897,0.278621374978049,9,4,0,4,1,12.1612903225806,1,0,78,3.59887277777778,2.61521722222222
77,74.7207050053137,0.0154349731471419,0.262432735235942,4,6,2,2,2,13.0606060606061,1,0,99,4.15243638888889,2.36485833333333
78,229.906662469424,0.0540702404678796,0.268088237408601,4,7,0,0,3,13.3333333333333,0,1,49,4.16930888888889,0
79,101.321786667656,0.0216963140615965,0.28154565351408,3,8,4,10,1,13.875,0,0,119,8.45223583333333,3.69485027777778
80,79.2765878270766,0.0194020038734891,0.261993764850867,3,3,3,3,0,13.3409090909091,0,0,63,3.12674861111111,2.80810166666666
81,155.511175032512,0.0452461958197591,0.245736039342248,3,1,0,0,1,12.1739130434783,0,1,35,3.82153444444445,0
82,182.21108499394,0.0391515008581737,0.24995464180413,7,12,1,1,0,13.6018518518519,0,1,133,4.34935694444444,0.446800555555556
83,135.95097179248,0.0260892288989598,0.279295818098001,6,7,1,4,0,13.5657894736842,0,1,116,3.987195,2.22028777777778
84,225.994747248626,0.0728545284489445,0.278847668849681,1,1,0,1,3,14.0555555555556,1,1,27,2.78597944444444,0
85,145.292521920632,0.0373118957166492,0.281357995674598,1,4,1,3,5,14.25,0,0,49,5.98989861111111,4.04774583333333
86,337.621911589226,0.082106496009053,0.283823158031826,1,2,0,1,10,13.304347826087,0,0,32,3.16001555555556,0.549873611111111
87,197.747400765662,0.0454069806580166,0.274163406001809,5,3,3,3,2,13.0727272727273,0,0,86,3.1718875,1.08974027777778
88,313.315188398554,0.0392970260126118,0.284977718595105,9,7,2,1,5,13.2689075630252,0,0,153,4.90457638888889,2.86578722222222
89,267.91357000572,0.0739071917257158,0.264357893228591,0,2,0,0,16,15.1875,1,0,22,3.0842425,0
90,304.809022581951,0.0803609339788955,0.27714622780543,1,4,0,0,8,13.96,0,0,33,3.07361833333333,0
91,195.79631391066,0.0454178413153933,0.26988798151532,0,1,0,0,0,10.9166666666667,0,0,19,3.84923305555555,0
92,167.475758040475,0.0426472518565,0.279972868414798,5,5,0,1,1,13.3376623376623,0,1,92,6.91378027777778,0.580408888888888
93,69.8398701013822,0.0135217560699675,0.273637113228755,4,4,2,4,4,13.8217821782178,0,1,144,3.99147861111111,2.84742555555556
94,283.199364118242,0.0645983950999639,0.286808341350091,1,2,2,1,8,11.34375,1,0,46,3.93361194444444,0.506958333333332
95,330.069786996642,0.0732999749048727,0.262332768819538,4,2,0,0,7,11.84,1,0,36,3.68619333333334,0
96,304.389418602347,0.0637865504196033,0.272259151424298,3,2,2,1,3,13.2682926829268,1,0,62,4.44127333333334,0.719365833333334
97,206.941529803613,0.0505722213596317,0.259963850489339,0,4,0,0,7,15.448275862069,1,0,40,3.66680638888889,0.149995833333334
98,262.688170881961,0.0600430104873054,0.256479945557265,1,11,0,0,3,15.2203389830508,1,0,86,4.17572444444444,1.07117944444444
99,219.392631465068,0.0564717198108284,0.262442188981604,2,3,0,0,6,13.9655172413793,1,1,40,3.72899861111111,0.278877222222222
100,242.646833950701,0.0387429081830913,0.265107687828959,5,14,0,5,1,13.8818181818182,1,1,152,5.33082666666667,1.67973111111111
101,182.453832895098,0.0563825194360625,0.263970981697934,0,1,0,0,1,13.5428571428571,1,0,52,3.10285555555556,0
102,55.8385828759173,0.0122158352386605,0.256536016703228,5,6,0,1,0,14.2352941176471,1,0,98,4.17155888888889,1.81322888888889
103,109.795619613023,0.0364043831608166,0.24660832483112,1,2,0,2,6,12.695652173913,1,0,37,3.17025666666667,0
104,162.99654265824,0.0722822805579777,0.258937728046012,2,2,0,0,0,12.3076923076923,1,0,21,2.75164972222222,0
105,166.100892901899,0.040871282702239,0.273473438454384,2,6,0,1,1,14.4705882352941,0,1,62,3.75412111111111,1.26891916666667
106,181.182412892618,0.0561805931449979,0.254533249860317,0,3,0,0,2,14.5862068965517,0,1,42,3.40587222222222,0
107,167.963030047517,0.0465787659588235,0.26905210650107,2,7,0,0,0,13.46,0,0,69,3.52679527777778,0.556598055555556
108,131.863098485278,0.0298332802002892,0.267277208495227,6,7,0,5,1,13.9509803921569,0,0,142,4.03309055555555,2.12587416666667
109,81.6341958380567,0.0327060079479394,0.258410892047679,3,4,0,0,20,13.46875,0,0,43,2.98482638888889,0
110,54.5012828723471,0.013949650082505,0.254984268268569,3,9,0,2,4,13.3557692307692,0,0,143,3.39866888888889,1.58802388888889
111,50.6772270487092,0.0117689798069459,0.245102921448179,10,9,0,2,2,12.9569892473118,0,0,115,4.07586416666667,1.14607444444444
112,47.236227452648,0.0117561541693997,0.262058532458504,4,2,0,0,2,13.1111111111111,1,0,72,4.08911166666667,0
113,168.033157842764,0.0305681567842031,0.262903347303284,6,11,0,2,1,14.2909090909091,1,1,164,4.58149194444444,1.62737444444445
114,115.134097684437,0.0186997072737432,0.275246538702714,3,13,0,4,0,14.7623762376238,1,1,133,5.37925555555555,4.77104111111111
115,238.681951184811,0.0634117829927767,0.27524229933554,1,3,0,0,6,13,1,1,31,4.28534305555555,0
