"model","roc_auc","accuracy","rightly_classified","wrongly_classified","recall","precision","f_meas","kap","sens","spec"
"xbg_boost",0.571911139263887,0.184897414107078,12184,53712,NA,NA,NA,NA,NA,NA
"naive_bayes",0.565834578049604,0.027862085710817,1836,64060,NA,NA,NA,NA,NA,NA
"random_forest",0.586457137791175,0.156337465013994,391,2110,0.134396324814202,0.14008118772462,0.103094410903388,0.0644546630741907,0.134396324814202,0.907648425240228
