"episode","actor","time_stamp","description"
28,"Grog","1:33:00","Stealth vs. murder of crows"
28,"Keyleth","1:52:27","Perception of Whitestone (negated by advantage"
28,"Percy","2:28:33","Stealth into Whitestone"
29,"Vax’ildan","0:42:35","Perception check of Xenith"
29,"Percy","0:54:50","Wis save vs. Banshee (negated by advantage"
29,"Vax’ildan","2:23:02","Perception vs. wine cellar"
30,"Vex’ahlia","0:41:10","Arcana check vs. mist"
30,"Grog","0:51:56","Firebrand Warhammer vs. Vampire 1"
30,"Grog","0:54:42","Str Check to release hammer from wall"
30,"Vex’ahlia","0:56:50","Bow attack vs. Vampire 1"
30,"Percy","0:58:26","Rapier Attack vs. Vampire 1"
30,"Keyleth","1:25:11","Int Check vs. Sun Tree"
31,"Vax’ildan","p1.","Third Dagger vs. Count’s Guard"
31,"Percy","p2.","Perception of Sun Tree’s hanging victims"
32,"Keyleth","0:48:48","Perception of giants in the rain"
32,"Keyleth","1:29:08","Initiative vs. Zombie Giant 2"
32,"Percy","1:33:48","Str save vs. thrown boulder"
32,"Keyleth","2:48:50","Con save after sleeping in the tunnel"
32,"Grog","3:03:29","Pushing the statue out of the doorway"
32,"Vex’ahlia","3:05:23","Pushing the statue out of the doorway"
33,"Percy","p1.","Pepperbox against Anders"
33,"Keyleth","p2.","Rolling Taliesin’s die to see if it rolls another 20. It didn’t."
33,"Grog","p2.","Initiative vs. Ghosts (negated by advantage… for a 2."
33,"Percy","p2.","Pepperbox against Possessed Vax’ildan"
33,"Percy","p2.","Charisma save vs. possession by ghost"
34,"Keyleth","1:08:18","Perception check vs. Copper Room’s ceiling"
34,"Keyleth","2:09:27","Stealth after the Briarwoods"
34,"Scanlan","2:13:00","Perception check to look at the ziggurat"
34,"Percy","2:43:38","Con Save vs. Craven Edge"
34,"Vex’ahlia","2:48:38","First Storm Arrow vs. Sylas Briarwood"
34,"Keyleth","4:04:45","Perception vs. Delilah Briarwood’s ritual"
34,"Vex’ahlia","4:39:34","For the hell of it"
35,"Percy","p1.","Bad News vs. Orthax (negated by advantage"
35,"Vex’ahlia","p1.","Holy Arrow vs. Orthax (negated by advantage… for a 2."
35,"Pike","p1.","Guiding Bolt vs. Orthax (negated by advantage, for a crit!"
36,"Scanlan","1:13:27","Strength check vs. Jasper the Farmer"
36,"Grog","1:18:32","Strength check vs. Jasper the Farmer"
36,"Grog","1:27:05","Strength check vs. Trisha (negated by advantage"
36,"Vex’ahlia","2:06:09","Con Save vs. Pie, Round 2"
38,"Vex’ahlia","2:01:28","Perception check for signs of life within Krieg’s house"
38,"Grog","2:25:54","History check on Ank’Harel"
38,"Vex'ahlia","2:39:50","Perception check vs. secret stairway"
38,"Vex'ahlia","2:41:48","Survival check for tracks around teleporter"
39,"Percy","2:49:11","Persuasion vs. Warden Hume"
39,"Percy","3:35:18","Initiative vs. Raishan the Ancient Green Dragon"
40,"Grog","2:19:04","Strength Check to spike the skull on the ground"
42,"Vax’ildan","1:18:03","Initiative Roll"
42,"Keyleth","3:03:54","Stealth Check"
43,"Vax’ildan","3:21:28","Dagger against Groon"
44,"Keyleth","2:04:24","Stealth Check"
44,"Grog","2:37:33","Acrobatics Check"
44,"Zahra","3:46:50","Eldritch Blast with Agonizing Blast"
44,"Vex’ahlia","4:23:35","Dexterity Save"
